date,nav
22-07-2025,32.46200
21-07-2025,32.51800
18-07-2025,32.43160
17-07-2025,32.65320
16-07-2025,32.67680
15-07-2025,32.57460
14-07-2025,32.21690
11-07-2025,31.96120
10-07-2025,32.15930
09-07-2025,32.14890
08-07-2025,31.98980
07-07-2025,32.01520
04-07-2025,32.19480
03-07-2025,32.19750
02-07-2025,32.01890
01-07-2025,32.08390
30-06-2025,32.14730
27-06-2025,31.94560
26-06-2025,31.80180
25-06-2025,31.68540
24-06-2025,31.45470
23-06-2025,31.27320
20-06-2025,31.07720
19-06-2025,30.79590
18-06-2025,31.29860
17-06-2025,31.40570
16-06-2025,31.55490
13-06-2025,31.38770
12-06-2025,31.50860
11-06-2025,31.99240
10-06-2025,32.08330
09-06-2025,32.04250
06-06-2025,31.73970
05-06-2025,31.46520
04-06-2025,31.23230
03-06-2025,31.09860
02-06-2025,31.02020
30-05-2025,30.91320
29-05-2025,30.77500
28-05-2025,30.60060
27-05-2025,30.47190
26-05-2025,30.52000
23-05-2025,30.32330
22-05-2025,30.14960
21-05-2025,30.20110
20-05-2025,30.15530
19-05-2025,30.45660
16-05-2025,30.36870
15-05-2025,30.10080
14-05-2025,29.81750
13-05-2025,29.43390
12-05-2025,29.22340
09-05-2025,28.10750
08-05-2025,28.30480
07-05-2025,28.63950
06-05-2025,28.28040
05-05-2025,29.01580
02-05-2025,28.61310
30-04-2025,28.68470
29-04-2025,29.14670
28-04-2025,29.12620
25-04-2025,28.82920
24-04-2025,29.59190
23-04-2025,29.65620
22-04-2025,29.52820
21-04-2025,29.32030
17-04-2025,28.84050
16-04-2025,28.78970
15-04-2025,28.45980
11-04-2025,27.57090
09-04-2025,26.64510
08-04-2025,26.94410
07-04-2025,26.29280
04-04-2025,27.42400
03-04-2025,28.33080
02-04-2025,28.14360
01-04-2025,27.84390
31-03-2025,28.04630
28-03-2025,28.04750
27-03-2025,28.02080
26-03-2025,27.74440
25-03-2025,28.10870
24-03-2025,28.68600
21-03-2025,28.38440
20-03-2025,27.81160
19-03-2025,27.56150
18-03-2025,27.00390
17-03-2025,26.29220
13-03-2025,26.17000
12-03-2025,26.22170
11-03-2025,26.33710
10-03-2025,26.31590
07-03-2025,26.86920
06-03-2025,26.72580
05-03-2025,26.36210
04-03-2025,25.79220
03-03-2025,25.37080
28-02-2025,25.51110
27-02-2025,25.94460
25-02-2025,26.40360
24-02-2025,26.52970
21-02-2025,26.80520
20-02-2025,27.06190
19-02-2025,26.65300
18-02-2025,25.97080
17-02-2025,26.45440
14-02-2025,26.61220
13-02-2025,27.49220
12-02-2025,27.55160
11-02-2025,27.50720
10-02-2025,28.49180
07-02-2025,29.19110
06-02-2025,29.22880
05-02-2025,29.40820
04-02-2025,28.97870
03-02-2025,28.54870
31-01-2025,28.82730
30-01-2025,28.25860
29-01-2025,28.30370
28-01-2025,27.19450
27-01-2025,27.85610
24-01-2025,28.76910
23-01-2025,29.49840
22-01-2025,29.21110
21-01-2025,29.80790
20-01-2025,30.55140
17-01-2025,30.39770
16-01-2025,30.39620
15-01-2025,29.97720
14-01-2025,29.76230
13-01-2025,29.06520
10-01-2025,30.39260
09-01-2025,31.23900
08-01-2025,31.68280
07-01-2025,32.17990
06-01-2025,31.69330
03-01-2025,32.62130
02-01-2025,32.64140
01-01-2025,32.45960
31-12-2024,32.17540
30-12-2024,32.00400
27-12-2024,32.24710
26-12-2024,32.12580
24-12-2024,32.17400
23-12-2024,32.04230
20-12-2024,32.14130
19-12-2024,32.77300
18-12-2024,32.90510
17-12-2024,33.27060
16-12-2024,33.45820
13-12-2024,33.05440
12-12-2024,33.11910
11-12-2024,33.37780
10-12-2024,33.29850
09-12-2024,33.29590
06-12-2024,33.04120
05-12-2024,32.83740
04-12-2024,32.60880
03-12-2024,32.36160
02-12-2024,32.17590
29-11-2024,31.96630
28-11-2024,31.74470
27-11-2024,31.60330
26-11-2024,31.24160
25-11-2024,31.15960
22-11-2024,30.56370
21-11-2024,30.21490
19-11-2024,30.31900
18-11-2024,29.96730
14-11-2024,30.03030
13-11-2024,29.79380
12-11-2024,30.68710
11-11-2024,31.05670
08-11-2024,31.45330
07-11-2024,31.85580
06-11-2024,31.96970
05-11-2024,31.32970
04-11-2024,31.14980
31-10-2024,31.33470
30-10-2024,30.89280
29-10-2024,30.56980
28-10-2024,30.21670
25-10-2024,29.87720
24-10-2024,30.56400
23-10-2024,30.74250
22-10-2024,30.46980
21-10-2024,31.62930
18-10-2024,32.18670
17-10-2024,32.14010
16-10-2024,32.54640
15-10-2024,32.61100
14-10-2024,32.28410
11-10-2024,32.10310
10-10-2024,31.94110
09-10-2024,31.78220
08-10-2024,31.41850
07-10-2024,30.67180
04-10-2024,31.50080
03-10-2024,31.77410
01-10-2024,32.36190
30-09-2024,32.26510
27-09-2024,32.39500
26-09-2024,32.40690
25-09-2024,32.42930
24-09-2024,32.53070
23-09-2024,32.54120
20-09-2024,32.26600
19-09-2024,31.91400
18-09-2024,32.37730
17-09-2024,32.43190
16-09-2024,32.50810
13-09-2024,32.45040
12-09-2024,32.24140
11-09-2024,31.83810
10-09-2024,31.93650
09-09-2024,31.55090
06-09-2024,31.76140
05-09-2024,31.94760
04-09-2024,31.60380
03-09-2024,31.58890
02-09-2024,31.44810
30-08-2024,31.60550
29-08-2024,31.26780
28-08-2024,31.45280
27-08-2024,31.49180
26-08-2024,31.39480
23-08-2024,31.39520
22-08-2024,31.36670
21-08-2024,31.25170
20-08-2024,31.01070
19-08-2024,30.91880
16-08-2024,30.58630
14-08-2024,29.95760
13-08-2024,30.06750
12-08-2024,30.31690
09-08-2024,30.14540
