date,nav
25-11-2022,90.73680
24-11-2022,90.25270
23-11-2022,89.73770
22-11-2022,89.26320
21-11-2022,89.63160
18-11-2022,89.77660
17-11-2022,90.38720
16-11-2022,90.72610
15-11-2022,90.82790
14-11-2022,90.57920
11-11-2022,90.79450
10-11-2022,90.33880
09-11-2022,91.36950
07-11-2022,91.71890
04-11-2022,91.27440
03-11-2022,91.08490
02-11-2022,90.96550
01-11-2022,90.73780
31-10-2022,90.32880
28-10-2022,89.34860
27-10-2022,90.20840
25-10-2022,89.78160
21-10-2022,88.77950
20-10-2022,89.26210
19-10-2022,89.49360
18-10-2022,89.28200
17-10-2022,88.61430
14-10-2022,88.79280
13-10-2022,88.47270
12-10-2022,88.73540
11-10-2022,88.48740
10-10-2022,89.70320
07-10-2022,90.26660
06-10-2022,90.41190
04-10-2022,89.62710
03-10-2022,88.72060
30-09-2022,88.62280
29-09-2022,87.55700
28-09-2022,86.94640
27-09-2022,87.36610
26-09-2022,86.97350
23-09-2022,89.25770
22-09-2022,90.87390
21-09-2022,90.52780
20-09-2022,91.54230
19-09-2022,90.30440
16-09-2022,90.99090
15-09-2022,93.18350
14-09-2022,93.28460
13-09-2022,92.91490
12-09-2022,92.85990
09-09-2022,91.39120
08-09-2022,90.95430
07-09-2022,90.25090
06-09-2022,89.44420
05-09-2022,89.20660
02-09-2022,88.51630
01-09-2022,88.29470
30-08-2022,87.77880
29-08-2022,86.78830
26-08-2022,87.51530
25-08-2022,87.52110
24-08-2022,87.47940
23-08-2022,86.81550
22-08-2022,86.12610
19-08-2022,87.21340
18-08-2022,88.22050
17-08-2022,88.31720
16-08-2022,88.10790
12-08-2022,87.51180
11-08-2022,87.50940
10-08-2022,86.85180
08-08-2022,86.72480
05-08-2022,86.95350
04-08-2022,86.88820
03-08-2022,86.09800
02-08-2022,86.36010
01-08-2022,86.29260
29-07-2022,85.17150
28-07-2022,84.32510
27-07-2022,83.80180
26-07-2022,83.07060
25-07-2022,83.86620
22-07-2022,83.48910
21-07-2022,83.33350
20-07-2022,82.98320
19-07-2022,82.37100
18-07-2022,81.66440
15-07-2022,80.92900
14-07-2022,80.29040
13-07-2022,81.22360
12-07-2022,80.88020
11-07-2022,81.48540
08-07-2022,80.68910
07-07-2022,80.67180
06-07-2022,79.63290
05-07-2022,79.00170
04-07-2022,78.83000
01-07-2022,78.47110
30-06-2022,78.15160
29-06-2022,78.65020
28-06-2022,78.71750
27-06-2022,78.73480
24-06-2022,77.53400
23-06-2022,76.30920
22-06-2022,75.33800
21-06-2022,76.01640
20-06-2022,74.56920
17-06-2022,75.46430
16-06-2022,76.71980
15-06-2022,78.56960
14-06-2022,78.07820
13-06-2022,78.67130
10-06-2022,81.19300
09-06-2022,81.93120
08-06-2022,81.75500
07-06-2022,82.07570
06-06-2022,82.73980
03-06-2022,83.62860
02-06-2022,84.68760
01-06-2022,84.51440
31-05-2022,84.32710
30-05-2022,83.64200
27-05-2022,81.79670
26-05-2022,80.71180
25-05-2022,80.26000
24-05-2022,82.60610
23-05-2022,83.61030
20-05-2022,84.18940
19-05-2022,82.62610
18-05-2022,84.10620
17-05-2022,84.09940
16-05-2022,82.09950
13-05-2022,82.05810
12-05-2022,80.92790
11-05-2022,82.08730
10-05-2022,83.97680
09-05-2022,85.31890
06-05-2022,86.90490
05-05-2022,88.76510
04-05-2022,88.60040
02-05-2022,91.00180
29-04-2022,91.58560
28-04-2022,92.37910
27-04-2022,91.51130
26-04-2022,92.21540
25-04-2022,91.78450
22-04-2022,93.36600
21-04-2022,93.86990
20-04-2022,92.77080
19-04-2022,92.60800
18-04-2022,93.54980
13-04-2022,94.89470
12-04-2022,94.85800
11-04-2022,96.29130
08-04-2022,96.17380
07-04-2022,95.70540
06-04-2022,96.45310
05-04-2022,96.89750
04-04-2022,95.33790
01-04-2022,94.48270
31-03-2022,93.85530
30-03-2022,93.53530
29-03-2022,92.50080
28-03-2022,91.43590
25-03-2022,91.91580
24-03-2022,92.44150
23-03-2022,92.25130
22-03-2022,92.75870
21-03-2022,93.13440
17-03-2022,92.87370
16-03-2022,91.53770
15-03-2022,90.53020
14-03-2022,91.15290
11-03-2022,90.64840
10-03-2022,89.93840
09-03-2022,89.01040
08-03-2022,87.54980
07-03-2022,86.42370
04-03-2022,88.10330
03-03-2022,89.89400
02-03-2022,90.18160
28-02-2022,90.20690
25-02-2022,89.88870
24-02-2022,86.07100
23-02-2022,90.28740
22-02-2022,89.53150
21-02-2022,90.80960
18-02-2022,91.88560
17-02-2022,92.58680
16-02-2022,93.08820
15-02-2022,93.02020
14-02-2022,91.22730
11-02-2022,95.36060
10-02-2022,97.27130
09-02-2022,96.66560
08-02-2022,95.77830
07-02-2022,97.33390
04-02-2022,98.55580
03-02-2022,99.72280
02-02-2022,100.53420
01-02-2022,99.05340
31-01-2022,98.40300
28-01-2022,96.99520
27-01-2022,95.54010
25-01-2022,96.69320
24-01-2022,96.34470
21-01-2022,100.59930
20-01-2022,102.89730
19-01-2022,104.09860
18-01-2022,104.20410
17-01-2022,105.81850
14-01-2022,105.21150
13-01-2022,104.70680
12-01-2022,104.10350
11-01-2022,103.11860
10-01-2022,103.24520
07-01-2022,102.34100
06-01-2022,102.08580
05-01-2022,102.39270
04-01-2022,102.68420
03-01-2022,102.28280
31-12-2021,101.71580
30-12-2021,100.60270
29-12-2021,100.74030
28-12-2021,99.83050
27-12-2021,98.64240
24-12-2021,98.22250
23-12-2021,98.61470
22-12-2021,97.44120
21-12-2021,96.07820
20-12-2021,94.80900
17-12-2021,97.91370
16-12-2021,99.69280
15-12-2021,100.35430
14-12-2021,100.42900
13-12-2021,100.07790
10-12-2021,99.68950
09-12-2021,98.87310
08-12-2021,98.56110
07-12-2021,97.26120
06-12-2021,96.54780
03-12-2021,98.12980
02-12-2021,97.52610
01-12-2021,96.51970
30-11-2021,97.12780
29-11-2021,94.89450
26-11-2021,96.35020
25-11-2021,99.44870
24-11-2021,98.49460
23-11-2021,97.88030
22-11-2021,95.18550
18-11-2021,98.13130
17-11-2021,99.70060
16-11-2021,99.40460
15-11-2021,99.28370
12-11-2021,99.22000
11-11-2021,98.90540
10-11-2021,99.49220
09-11-2021,99.62760
08-11-2021,99.23110
03-11-2021,96.89400
02-11-2021,96.94210
01-11-2021,95.99810
29-10-2021,94.92990
28-10-2021,95.79690
27-10-2021,96.94510
26-10-2021,97.03320
25-10-2021,94.17640
22-10-2021,96.48570
21-10-2021,97.45330
20-10-2021,98.78960
19-10-2021,102.07740
18-10-2021,102.45270
14-10-2021,101.59140
13-10-2021,101.54280
12-10-2021,100.91270
11-10-2021,100.74470
08-10-2021,99.43990
07-10-2021,98.03060
06-10-2021,96.50890
05-10-2021,97.12620
04-10-2021,96.40630
01-10-2021,94.70940
30-09-2021,94.15860
29-09-2021,93.17870
28-09-2021,93.20010
27-09-2021,93.93370
24-09-2021,94.28520
23-09-2021,94.28080
22-09-2021,92.82400
21-09-2021,92.10790
20-09-2021,91.98710
17-09-2021,92.79900
16-09-2021,93.78960
15-09-2021,93.98900
14-09-2021,93.45020
13-09-2021,93.32170
09-09-2021,92.74820
08-09-2021,92.68000
07-09-2021,91.85770
06-09-2021,91.24010
03-09-2021,90.46130
02-09-2021,90.27590
01-09-2021,89.34840
31-08-2021,88.62460
30-08-2021,87.85560
27-08-2021,86.42850
26-08-2021,85.54640
25-08-2021,85.06880
24-08-2021,84.74310
23-08-2021,83.76730
20-08-2021,85.38430
18-08-2021,86.78920
17-08-2021,86.75450
16-08-2021,86.34310
13-08-2021,87.02690
12-08-2021,87.13460
11-08-2021,85.47650
10-08-2021,85.85730
09-08-2021,87.28180
06-08-2021,87.95960
05-08-2021,87.82750
04-08-2021,87.95890
03-08-2021,89.17640
02-08-2021,89.33250
30-07-2021,88.78210
29-07-2021,88.53990
28-07-2021,87.43320
27-07-2021,87.77940
26-07-2021,87.76510
23-07-2021,87.92330
22-07-2021,87.75510
20-07-2021,86.55440
19-07-2021,86.61030
16-07-2021,86.61830
15-07-2021,86.16730
14-07-2021,85.58580
13-07-2021,85.47090
12-07-2021,84.81860
09-07-2021,84.52760
08-07-2021,84.49000
07-07-2021,84.68870
06-07-2021,84.08800
05-07-2021,84.41730
02-07-2021,83.78180
01-07-2021,82.31710
30-06-2021,81.97240
29-06-2021,81.62830
28-06-2021,81.98790
25-06-2021,81.44870
24-06-2021,80.95280
23-06-2021,80.50170
22-06-2021,80.28740
21-06-2021,79.73640
18-06-2021,79.35430
17-06-2021,79.36390
16-06-2021,78.85410
15-06-2021,79.01760
14-06-2021,78.34800
11-06-2021,78.47380
10-06-2021,78.53730
09-06-2021,78.11730
08-06-2021,78.65980
07-06-2021,77.95100
04-06-2021,76.98850
03-06-2021,76.83600
02-06-2021,76.43100
01-06-2021,75.74760
31-05-2021,75.81590
28-05-2021,75.47380
27-05-2021,75.83970
26-05-2021,75.21420
25-05-2021,74.81040
24-05-2021,74.75070
21-05-2021,73.88610
20-05-2021,73.11770
19-05-2021,73.18240
18-05-2021,72.55240
17-05-2021,71.42080
14-05-2021,70.64460
12-05-2021,71.38490
11-05-2021,71.74180
10-05-2021,71.20780
07-05-2021,71.52160
06-05-2021,71.70530
05-05-2021,71.02870
04-05-2021,70.84970
03-05-2021,71.52170
30-04-2021,70.84500
29-04-2021,71.31030
28-04-2021,71.05370
27-04-2021,70.26040
26-04-2021,69.17200
23-04-2021,68.26200
22-04-2021,68.07960
20-04-2021,67.82850
19-04-2021,67.13060
16-04-2021,68.16230
15-04-2021,67.52210
13-04-2021,67.97350
12-04-2021,67.26840
09-04-2021,70.55550
08-04-2021,70.17380
07-04-2021,69.47260
06-04-2021,68.62960
05-04-2021,67.98880
01-04-2021,69.37020
31-03-2021,69.15290
30-03-2021,68.49590
26-03-2021,67.27780
25-03-2021,66.33020
24-03-2021,67.57430
23-03-2021,68.78380
22-03-2021,68.54870
19-03-2021,68.29750
18-03-2021,67.92160
17-03-2021,68.85820
16-03-2021,69.73750
15-03-2021,69.66710
12-03-2021,70.24390
10-03-2021,69.88020
09-03-2021,69.73420
08-03-2021,69.55380
05-03-2021,69.39820
04-03-2021,70.49080
03-03-2021,69.67560
02-03-2021,68.85590
01-03-2021,67.99250
26-02-2021,67.07560
25-02-2021,67.90090
24-02-2021,67.38090
23-02-2021,66.50270
22-02-2021,65.85060
19-02-2021,67.01070
18-02-2021,67.90120
17-02-2021,67.72390
16-02-2021,67.72700
15-02-2021,67.82660
12-02-2021,67.61850
11-02-2021,67.44240
10-02-2021,65.83830
09-02-2021,65.51820
08-02-2021,64.99610
05-02-2021,63.85980
04-02-2021,64.06780
03-02-2021,63.47160
02-02-2021,62.80260
01-02-2021,61.75480
29-01-2021,59.99500
28-01-2021,60.13420
27-01-2021,60.49500
25-01-2021,61.09640
22-01-2021,61.41570
21-01-2021,62.20120
20-01-2021,62.07760
19-01-2021,62.02560
18-01-2021,61.26620
15-01-2021,62.15830
14-01-2021,62.57110
13-01-2021,62.46890
12-01-2021,63.01160
11-01-2021,62.93050
08-01-2021,63.05780
07-01-2021,62.52280
06-01-2021,62.00890
05-01-2021,61.29800
04-01-2021,61.10010
01-01-2021,60.48230
31-12-2020,60.23000
30-12-2020,59.81940
29-12-2020,59.66290
28-12-2020,59.70910
24-12-2020,58.87600
23-12-2020,58.44660
22-12-2020,57.27290
21-12-2020,57.35100
18-12-2020,59.12910
17-12-2020,59.36060
16-12-2020,59.07600
15-12-2020,58.67710
14-12-2020,58.30570
11-12-2020,57.99070
10-12-2020,57.73330
09-12-2020,58.01060
08-12-2020,57.72430
07-12-2020,57.84980
04-12-2020,57.37790
03-12-2020,57.20340
02-12-2020,57.15930
01-12-2020,57.11080
27-11-2020,56.61060
26-11-2020,54.96330
25-11-2020,54.59620
24-11-2020,55.36400
23-11-2020,55.01220
20-11-2020,54.27740
19-11-2020,53.65790
18-11-2020,54.07010
17-11-2020,53.76840
13-11-2020,53.18560
12-11-2020,52.66720
11-11-2020,52.33010
10-11-2020,52.22140
