date,nav
12-06-2023,20.06290
09-06-2023,20.11470
08-06-2023,20.11160
07-06-2023,20.10840
06-06-2023,20.10530
05-06-2023,20.10220
02-06-2023,20.09320
01-06-2023,20.09010
31-05-2023,20.08720
30-05-2023,20.08430
29-05-2023,20.08130
26-05-2023,20.07230
25-05-2023,20.06930
24-05-2023,20.06640
23-05-2023,20.06340
22-05-2023,20.06040
19-05-2023,20.05140
18-05-2023,20.04840
17-05-2023,20.04530
16-05-2023,20.04220
15-05-2023,20.03900
12-05-2023,20.02920
11-05-2023,20.02600
10-05-2023,20.02270
09-05-2023,20.01950
08-05-2023,20.01620
05-05-2023,20.00660
04-05-2023,20.00330
03-05-2023,20.00010
02-05-2023,19.99870
28-04-2023,19.98160
27-04-2023,19.97770
26-04-2023,19.96400
25-04-2023,19.96990
24-04-2023,19.98530
21-04-2023,19.97820
20-04-2023,19.98240
19-04-2023,19.97050
18-04-2023,19.98350
17-04-2023,19.97870
13-04-2023,19.96570
12-04-2023,19.96850
11-04-2023,19.96030
10-04-2023,19.95650
06-04-2023,19.93620
05-04-2023,19.87420
03-04-2023,19.88440
31-03-2023,19.81120
29-03-2023,19.72950
28-03-2023,19.55900
27-03-2023,19.57340
24-03-2023,19.65190
23-03-2023,19.77610
22-03-2023,19.80710
21-03-2023,19.76360
20-03-2023,19.68840
17-03-2023,19.70740
16-03-2023,19.59160
15-03-2023,19.67240
14-03-2023,19.67600
13-03-2023,19.72700
10-03-2023,19.90330
09-03-2023,19.97680
08-03-2023,20.06330
06-03-2023,20.05950
03-03-2023,20.03150
02-03-2023,19.94540
01-03-2023,19.92470
28-02-2023,19.85460
27-02-2023,19.74670
24-02-2023,19.82030
23-02-2023,19.88010
22-02-2023,19.84600
21-02-2023,19.90290
20-02-2023,19.94260
17-02-2023,19.90740
16-02-2023,19.92780
15-02-2023,19.87000
14-02-2023,19.83400
13-02-2023,19.96970
10-02-2023,20.11500
09-02-2023,19.98950
08-02-2023,19.93640
07-02-2023,19.83960
06-02-2023,19.81530
03-02-2023,19.70140
02-02-2023,19.72460
01-02-2023,19.71910
31-01-2023,19.91470
30-01-2023,19.67090
27-01-2023,19.66910
25-01-2023,19.90010
24-01-2023,19.99390
23-01-2023,20.01240
20-01-2023,19.99260
19-01-2023,20.03360
18-01-2023,20.03010
17-01-2023,19.97010
16-01-2023,20.04770
13-01-2023,20.08690
12-01-2023,20.05870
11-01-2023,20.03960
10-01-2023,20.02380
09-01-2023,20.04590
06-01-2023,19.98140
05-01-2023,20.05300
04-01-2023,20.07870
03-01-2023,20.16050
02-01-2023,20.13170
30-12-2022,20.01130
29-12-2022,19.93120
28-12-2022,19.91460
27-12-2022,19.92850
26-12-2022,19.73600
23-12-2022,19.37050
22-12-2022,19.86990
21-12-2022,20.06250
20-12-2022,20.34370
19-12-2022,20.40610
16-12-2022,20.37160
15-12-2022,20.56540
14-12-2022,20.66000
13-12-2022,20.55520
12-12-2022,20.47420
09-12-2022,20.53410
08-12-2022,20.65250
07-12-2022,20.64550
06-12-2022,20.74460
05-12-2022,20.79500
02-12-2022,20.82040
01-12-2022,20.74580
30-11-2022,20.62560
29-11-2022,20.54640
28-11-2022,20.53610
25-11-2022,20.42770
24-11-2022,20.32830
23-11-2022,20.22960
22-11-2022,20.14440
21-11-2022,20.19890
18-11-2022,20.26520
17-11-2022,20.38350
16-11-2022,20.35680
15-11-2022,20.44840
14-11-2022,20.43040
11-11-2022,20.32800
10-11-2022,20.27220
09-11-2022,20.39830
07-11-2022,20.51630
04-11-2022,20.43460
03-11-2022,20.45700
02-11-2022,20.49790
01-11-2022,20.48530
31-10-2022,20.43770
28-10-2022,20.32750
27-10-2022,20.43610
25-10-2022,20.38950
21-10-2022,20.23910
20-10-2022,20.33930
19-10-2022,20.35310
18-10-2022,20.30120
17-10-2022,20.16260
14-10-2022,20.21000
13-10-2022,20.21290
12-10-2022,20.31350
11-10-2022,20.27160
10-10-2022,20.46980
07-10-2022,20.61460
06-10-2022,20.62960
04-10-2022,20.43820
03-10-2022,20.24640
30-09-2022,20.30460
29-09-2022,20.01890
28-09-2022,19.88190
27-09-2022,19.91620
26-09-2022,19.84680
23-09-2022,20.37710
22-09-2022,20.74050
21-09-2022,20.64850
20-09-2022,20.74510
19-09-2022,20.49640
16-09-2022,20.53520
15-09-2022,20.96560
14-09-2022,21.01920
13-09-2022,20.96870
12-09-2022,20.96610
09-09-2022,20.73260
08-09-2022,20.78830
07-09-2022,20.57110
06-09-2022,20.42520
05-09-2022,20.33640
02-09-2022,20.26350
01-09-2022,20.33920
30-08-2022,20.28060
29-08-2022,19.99870
26-08-2022,20.08530
25-08-2022,19.98550
24-08-2022,19.89740
23-08-2022,19.75810
22-08-2022,19.64830
19-08-2022,19.79680
18-08-2022,19.94320
17-08-2022,19.92890
16-08-2022,19.84280
12-08-2022,19.69270
11-08-2022,19.52590
10-08-2022,19.34340
08-08-2022,19.36770
05-08-2022,19.33330
04-08-2022,19.29250
03-08-2022,19.31310
02-08-2022,19.29550
01-08-2022,19.19160
29-07-2022,18.98920
28-07-2022,18.76260
27-07-2022,18.59840
26-07-2022,18.52530
25-07-2022,18.65900
22-07-2022,18.67020
21-07-2022,18.58890
20-07-2022,18.48370
19-07-2022,18.36620
18-07-2022,18.28140
15-07-2022,18.06670
14-07-2022,17.95380
13-07-2022,17.96780
12-07-2022,17.92010
11-07-2022,18.05060
08-07-2022,17.92210
07-07-2022,17.86720
06-07-2022,17.71340
05-07-2022,17.56670
04-07-2022,17.43970
01-07-2022,17.33770
30-06-2022,17.35600
29-06-2022,17.40250
28-06-2022,17.40010
27-06-2022,17.31850
24-06-2022,17.06350
23-06-2022,16.86810
22-06-2022,16.65220
21-06-2022,16.74730
20-06-2022,16.39990
17-06-2022,16.58350
16-06-2022,16.75040
15-06-2022,17.17190
14-06-2022,17.09450
13-06-2022,17.17180
10-06-2022,17.68280
09-06-2022,17.77820
08-06-2022,17.79370
07-06-2022,17.81350
06-06-2022,17.91800
03-06-2022,18.07200
02-06-2022,18.14140
01-06-2022,18.08790
31-05-2022,17.93110
30-05-2022,17.89090
27-05-2022,17.41300
26-05-2022,17.21770
25-05-2022,17.10230
24-05-2022,17.59300
23-05-2022,17.76480
20-05-2022,17.81740
19-05-2022,17.53640
18-05-2022,17.93260
17-05-2022,17.71600
16-05-2022,17.31320
13-05-2022,17.14130
12-05-2022,16.96740
11-05-2022,17.29980
10-05-2022,17.54880
09-05-2022,17.88230
06-05-2022,18.13250
05-05-2022,18.52340
04-05-2022,18.57940
02-05-2022,18.93650
29-04-2022,19.07650
28-04-2022,19.17890
27-04-2022,19.02120
26-04-2022,19.07240
25-04-2022,18.85510
22-04-2022,19.14070
21-04-2022,19.13030
20-04-2022,18.92230
19-04-2022,18.92120
18-04-2022,19.15940
13-04-2022,19.36340
12-04-2022,19.35110
11-04-2022,19.63770
08-04-2022,19.61990
07-04-2022,19.42990
06-04-2022,19.47880
05-04-2022,19.43610
04-04-2022,19.26040
01-04-2022,19.07240
31-03-2022,18.88590
30-03-2022,18.78240
29-03-2022,18.52950
28-03-2022,18.37170
25-03-2022,18.48620
24-03-2022,18.53890
23-03-2022,18.53220
22-03-2022,18.61630
21-03-2022,18.53010
17-03-2022,18.43600
16-03-2022,18.06640
15-03-2022,17.88380
14-03-2022,17.97240
11-03-2022,17.82940
10-03-2022,17.65860
09-03-2022,17.47700
08-03-2022,17.15850
07-03-2022,16.97220
04-03-2022,17.32500
03-03-2022,17.59020
02-03-2022,17.50140
28-02-2022,17.54180
25-02-2022,17.44690
24-02-2022,16.89170
23-02-2022,17.70900
22-02-2022,17.57150
21-02-2022,17.70400
18-02-2022,17.99550
17-02-2022,18.06800
16-02-2022,18.08410
15-02-2022,18.04630
14-02-2022,17.77200
11-02-2022,18.40950
10-02-2022,18.65670
09-02-2022,18.69770
08-02-2022,18.61510
07-02-2022,18.85570
04-02-2022,19.03120
03-02-2022,19.11680
02-02-2022,19.17210
01-02-2022,18.94900
31-01-2022,18.76660
28-01-2022,18.62740
27-01-2022,18.54000
25-01-2022,18.63990
