date,nav
07-09-2023,25.13520
06-09-2023,25.13140
05-09-2023,25.12760
04-09-2023,25.12390
01-09-2023,25.11220
31-08-2023,25.10830
30-08-2023,25.10430
29-08-2023,25.10010
28-08-2023,25.09600
25-08-2023,25.08380
24-08-2023,25.07970
23-08-2023,25.07570
22-08-2023,25.07160
21-08-2023,25.06750
18-08-2023,25.05540
17-08-2023,25.05140
16-08-2023,25.04730
14-08-2023,25.03950
11-08-2023,25.02780
10-08-2023,25.02400
09-08-2023,25.02020
08-08-2023,25.01650
07-08-2023,25.01280
04-08-2023,25.00180
03-08-2023,24.99810
02-08-2023,24.99440
01-08-2023,24.99080
31-07-2023,24.98710
28-07-2023,24.97590
27-07-2023,24.97220
26-07-2023,24.96850
25-07-2023,24.96490
24-07-2023,24.96110
21-07-2023,24.94950
20-07-2023,24.94570
19-07-2023,24.94190
18-07-2023,24.93820
17-07-2023,24.93450
14-07-2023,24.92340
13-07-2023,24.91220
12-07-2023,24.90850
11-07-2023,24.90480
10-07-2023,24.90150
07-07-2023,24.89130
06-07-2023,24.88790
05-07-2023,24.87510
04-07-2023,24.86150
03-07-2023,24.86550
30-06-2023,24.86710
28-06-2023,24.88870
27-06-2023,24.89360
26-06-2023,24.88730
23-06-2023,24.86360
22-06-2023,24.88130
21-06-2023,24.89510
20-06-2023,24.85890
19-06-2023,24.82140
16-06-2023,24.83080
15-06-2023,24.82330
14-06-2023,24.80170
13-06-2023,24.77630
12-06-2023,24.75040
09-06-2023,24.72350
08-06-2023,24.72300
07-06-2023,24.72120
06-06-2023,24.68530
05-06-2023,24.64280
02-06-2023,24.59110
01-06-2023,24.60670
31-05-2023,24.57300
30-05-2023,24.57030
29-05-2023,24.56500
26-05-2023,24.53050
25-05-2023,24.47570
24-05-2023,24.47080
23-05-2023,24.42990
22-05-2023,24.40470
19-05-2023,24.39080
18-05-2023,24.40600
17-05-2023,24.42550
16-05-2023,24.44360
15-05-2023,24.44710
12-05-2023,24.38590
11-05-2023,24.39060
10-05-2023,24.39580
09-05-2023,24.35640
08-05-2023,24.32830
05-05-2023,24.16840
