date,nav
09-03-2023,17.54800
08-03-2023,17.54540
06-03-2023,17.54030
03-03-2023,17.53270
02-03-2023,17.53010
01-03-2023,17.52760
28-02-2023,17.52500
27-02-2023,17.52230
24-02-2023,17.51410
23-02-2023,17.51130
22-02-2023,17.50870
21-02-2023,17.50600
20-02-2023,17.50330
17-02-2023,17.49550
16-02-2023,17.49300
15-02-2023,17.49040
14-02-2023,17.48790
13-02-2023,17.48530
10-02-2023,17.47730
09-02-2023,17.47470
08-02-2023,17.47190
07-02-2023,17.46930
06-02-2023,17.46690
03-02-2023,17.45960
02-02-2023,17.45720
01-02-2023,17.45480
31-01-2023,17.45230
30-01-2023,17.44970
27-01-2023,17.44180
25-01-2023,17.43660
24-01-2023,17.43400
23-01-2023,17.43130
20-01-2023,17.42370
19-01-2023,17.42120
18-01-2023,17.41880
17-01-2023,17.41640
16-01-2023,17.41380
13-01-2023,17.40640
12-01-2023,17.40400
11-01-2023,17.40160
10-01-2023,17.39920
09-01-2023,17.39680
06-01-2023,17.38980
05-01-2023,17.38820
04-01-2023,17.38830
03-01-2023,17.39840
02-01-2023,17.39440
30-12-2022,17.36400
29-12-2022,17.36080
28-12-2022,17.36130
27-12-2022,17.35180
26-12-2022,17.33670
23-12-2022,17.28880
22-12-2022,17.35470
21-12-2022,17.37530
20-12-2022,17.41380
19-12-2022,17.41240
16-12-2022,17.40730
15-12-2022,17.44340
14-12-2022,17.45200
13-12-2022,17.44230
12-12-2022,17.45100
09-12-2022,17.44530
08-12-2022,17.43460
07-12-2022,17.44760
06-12-2022,17.45920
05-12-2022,17.49730
02-12-2022,17.49500
01-12-2022,17.48210
30-11-2022,17.45020
29-11-2022,17.45890
28-11-2022,17.42560
25-11-2022,17.37570
24-11-2022,17.33610
23-11-2022,17.30400
22-11-2022,17.27800
21-11-2022,17.27040
18-11-2022,17.29560
17-11-2022,17.34810
16-11-2022,17.33710
15-11-2022,17.35500
14-11-2022,17.33810
11-11-2022,17.34020
10-11-2022,17.32680
09-11-2022,17.36560
07-11-2022,17.39340
04-11-2022,17.36740
03-11-2022,17.37360
02-11-2022,17.38620
01-11-2022,17.38580
31-10-2022,17.35080
28-10-2022,17.29160
27-10-2022,17.34020
25-10-2022,17.34320
21-10-2022,17.22320
20-10-2022,17.30940
19-10-2022,17.34380
18-10-2022,17.30740
17-10-2022,17.21890
14-10-2022,17.24120
13-10-2022,17.23560
12-10-2022,17.31210
11-10-2022,17.30250
10-10-2022,17.43480
07-10-2022,17.51510
06-10-2022,17.54360
04-10-2022,17.41340
03-10-2022,17.27200
30-09-2022,17.31200
29-09-2022,17.10060
28-09-2022,16.98870
27-09-2022,17.01910
26-09-2022,16.95270
23-09-2022,17.40000
22-09-2022,17.71430
21-09-2022,17.63360
20-09-2022,17.73420
19-09-2022,17.51440
16-09-2022,17.55820
15-09-2022,17.93110
14-09-2022,17.97570
13-09-2022,17.93470
12-09-2022,17.93020
09-09-2022,17.73300
08-09-2022,17.77970
07-09-2022,17.59340
06-09-2022,17.47170
05-09-2022,17.38380
02-09-2022,17.32350
01-09-2022,17.38900
30-08-2022,17.33410
29-08-2022,17.09000
26-08-2022,17.16580
25-08-2022,17.08160
24-08-2022,17.00480
23-08-2022,16.88860
22-08-2022,16.79060
19-08-2022,16.91900
18-08-2022,17.04850
17-08-2022,17.03680
16-08-2022,16.96920
12-08-2022,16.84680
11-08-2022,16.69530
10-08-2022,16.55170
08-08-2022,16.57230
05-08-2022,16.54170
04-08-2022,16.51080
03-08-2022,16.52650
02-08-2022,16.49920
01-08-2022,16.41620
29-07-2022,16.25240
28-07-2022,16.05550
27-07-2022,15.91300
26-07-2022,15.85190
25-07-2022,15.96170
22-07-2022,15.97350
21-07-2022,15.90410
20-07-2022,15.81650
19-07-2022,15.71630
18-07-2022,15.64400
15-07-2022,15.46610
14-07-2022,15.37100
13-07-2022,15.38480
12-07-2022,15.34680
11-07-2022,15.45170
08-07-2022,15.34840
07-07-2022,15.30460
06-07-2022,15.17110
05-07-2022,15.04670
04-07-2022,14.93960
01-07-2022,14.85730
30-06-2022,14.87100
29-06-2022,14.90580
28-06-2022,14.90450
27-06-2022,14.83470
