date,nav
22-07-2025,100.44020
21-07-2025,100.60140
18-07-2025,100.73030
17-07-2025,101.40010
16-07-2025,100.99600
15-07-2025,100.47870
14-07-2025,99.38590
11-07-2025,98.70710
10-07-2025,99.56330
09-07-2025,99.69080
08-07-2025,99.13280
07-07-2025,99.28030
04-07-2025,99.45230
03-07-2025,99.19880
02-07-2025,98.98200
01-07-2025,99.11470
30-06-2025,99.65710
27-06-2025,99.02210
26-06-2025,98.61780
25-06-2025,98.30370
24-06-2025,96.90380
23-06-2025,96.38250
20-06-2025,96.12450
19-06-2025,95.52330
18-06-2025,97.01980
17-06-2025,97.12700
16-06-2025,97.39080
13-06-2025,97.00270
12-06-2025,97.09120
11-06-2025,98.35350
10-06-2025,98.34010
09-06-2025,98.42040
06-06-2025,97.48610
05-06-2025,96.81270
04-06-2025,96.25200
03-06-2025,95.95050
02-06-2025,95.77320
30-05-2025,95.23180
29-05-2025,95.10260
28-05-2025,94.60390
27-05-2025,94.37810
26-05-2025,93.94860
23-05-2025,93.87790
22-05-2025,93.45160
21-05-2025,93.36390
20-05-2025,93.10840
19-05-2025,93.99050
16-05-2025,93.27380
15-05-2025,92.70570
14-05-2025,92.48130
13-05-2025,90.93060
12-05-2025,90.29520
09-05-2025,87.10590
08-05-2025,87.27000
07-05-2025,88.07600
06-05-2025,86.83830
05-05-2025,88.42350
02-05-2025,87.68790
30-04-2025,87.70020
29-04-2025,88.78300
28-04-2025,88.50870
25-04-2025,87.99720
24-04-2025,90.02390
23-04-2025,90.05190
22-04-2025,89.58740
21-04-2025,88.79130
17-04-2025,87.56670
16-04-2025,87.20740
15-04-2025,86.42500
11-04-2025,84.04160
09-04-2025,81.60380
08-04-2025,82.42420
07-04-2025,80.61000
04-04-2025,83.83320
03-04-2025,86.33880
02-04-2025,85.95870
01-04-2025,85.44410
31-03-2025,85.67780
28-03-2025,85.68360
27-03-2025,85.71460
26-03-2025,84.80440
25-03-2025,86.04930
24-03-2025,87.15290
21-03-2025,85.99900
20-03-2025,84.42070
19-03-2025,83.62160
18-03-2025,82.28270
17-03-2025,80.60120
13-03-2025,80.17660
12-03-2025,80.70960
11-03-2025,80.85730
10-03-2025,81.27430
07-03-2025,82.64350
06-03-2025,82.37570
05-03-2025,81.21300
04-03-2025,79.19190
03-03-2025,78.28570
28-02-2025,78.82700
27-02-2025,79.97160
25-02-2025,81.09110
24-02-2025,81.60200
21-02-2025,82.56750
20-02-2025,82.99710
19-02-2025,82.15940
18-02-2025,80.61540
17-02-2025,81.47980
14-02-2025,82.08980
13-02-2025,84.27490
12-02-2025,84.46260
11-02-2025,84.91330
10-02-2025,87.50190
07-02-2025,89.42690
06-02-2025,90.11760
05-02-2025,90.42950
04-02-2025,89.31920
03-02-2025,88.38900
31-01-2025,89.19700
30-01-2025,87.51070
29-01-2025,87.64060
28-01-2025,85.28790
27-01-2025,86.89670
24-01-2025,89.34850
23-01-2025,91.47560
22-01-2025,90.93410
21-01-2025,92.76680
20-01-2025,94.23160
17-01-2025,93.80020
16-01-2025,93.99720
15-01-2025,92.68160
14-01-2025,92.43590
13-01-2025,91.29770
10-01-2025,94.72130
09-01-2025,96.92780
08-01-2025,97.78990
07-01-2025,99.05150
06-01-2025,98.01320
03-01-2025,100.81110
02-01-2025,100.94390
01-01-2025,100.25600
31-12-2024,99.43950
30-12-2024,98.60910
27-12-2024,99.39150
26-12-2024,99.05300
24-12-2024,99.45300
23-12-2024,99.21920
20-12-2024,99.87060
19-12-2024,101.99300
18-12-2024,102.22500
17-12-2024,102.68740
16-12-2024,103.10980
13-12-2024,102.66620
12-12-2024,102.99290
11-12-2024,103.61270
10-12-2024,103.40260
09-12-2024,102.66060
06-12-2024,102.00260
05-12-2024,101.60030
04-12-2024,101.94180
03-12-2024,101.55190
02-12-2024,100.73090
29-11-2024,100.31640
28-11-2024,99.97530
27-11-2024,99.63760
26-11-2024,98.84180
25-11-2024,98.20920
22-11-2024,96.49540
21-11-2024,95.46990
19-11-2024,96.08700
18-11-2024,94.96420
14-11-2024,95.81780
13-11-2024,95.46580
12-11-2024,98.22290
11-11-2024,99.51010
08-11-2024,100.95130
07-11-2024,102.18600
06-11-2024,102.85230
05-11-2024,100.94320
04-11-2024,100.53060
31-10-2024,100.83160
30-10-2024,99.56600
