date,nav
22-07-2025,11.69300
21-07-2025,11.71700
18-07-2025,11.73200
17-07-2025,11.79000
16-07-2025,11.75300
15-07-2025,11.73800
14-07-2025,11.66900
11-07-2025,11.57700
10-07-2025,11.61700
09-07-2025,11.55900
08-07-2025,11.49600
07-07-2025,11.46500
04-07-2025,11.51900
03-07-2025,11.44300
02-07-2025,11.45300
01-07-2025,11.43300
30-06-2025,11.43100
27-06-2025,11.36800
26-06-2025,11.28600
25-06-2025,11.26700
24-06-2025,11.14700
23-06-2025,11.06500
20-06-2025,11.05400
19-06-2025,10.98100
18-06-2025,11.14800
17-06-2025,11.15500
16-06-2025,11.19300
13-06-2025,11.15800
12-06-2025,11.16200
11-06-2025,11.30500
10-06-2025,11.28500
09-06-2025,11.25600
06-06-2025,11.15400
05-06-2025,11.04100
04-06-2025,10.96500
03-06-2025,10.96100
02-06-2025,10.95300
30-05-2025,10.91200
29-05-2025,10.87800
28-05-2025,10.81900
27-05-2025,10.82100
26-05-2025,10.83300
23-05-2025,10.73500
22-05-2025,10.69900
21-05-2025,10.72800
20-05-2025,10.66600
19-05-2025,10.75800
16-05-2025,10.73500
15-05-2025,10.66400
14-05-2025,10.55300
13-05-2025,10.42100
12-05-2025,10.37000
09-05-2025,10.05800
08-05-2025,10.10700
07-05-2025,10.20400
06-05-2025,10.11400
05-05-2025,10.26700
02-05-2025,10.16600
30-04-2025,10.17600
29-04-2025,10.31800
28-04-2025,10.28900
25-04-2025,10.24400
24-04-2025,10.41100
23-04-2025,10.41700
22-04-2025,10.39400
21-04-2025,10.31400
17-04-2025,10.16000
16-04-2025,10.08500
15-04-2025,9.98900
11-04-2025,9.72800
09-04-2025,9.44700
08-04-2025,9.53800
07-04-2025,9.33900
04-04-2025,9.70900
03-04-2025,9.94700
02-04-2025,9.93600
01-04-2025,9.83400
31-03-2025,9.94300
28-03-2025,9.94300
27-03-2025,9.93500
26-03-2025,9.85300
25-03-2025,9.99600
24-03-2025,10.08300
21-03-2025,10.01700
20-03-2025,9.84400
19-03-2025,9.74300
18-03-2025,9.61800
17-03-2025,9.37400
13-03-2025,9.34200
12-03-2025,9.38000
11-03-2025,9.40900
10-03-2025,9.41600
07-03-2025,9.52500
06-03-2025,9.49500
05-03-2025,9.36800
04-03-2025,9.16500
03-03-2025,9.08800
28-02-2025,9.12000
27-02-2025,9.31400
25-02-2025,9.42800
24-02-2025,9.43400
21-02-2025,9.49700
20-02-2025,9.57400
19-02-2025,9.48500
18-02-2025,9.40300
17-02-2025,9.46000
14-02-2025,9.55700
13-02-2025,9.71800
12-02-2025,9.76000
11-02-2025,9.78800
10-02-2025,10.00700
07-02-2025,10.14900
06-02-2025,10.16300
05-02-2025,10.19200
04-02-2025,10.15200
03-02-2025,10.07500
