date,nav
22-07-2025,10.45650
21-07-2025,10.46800
18-07-2025,10.47750
17-07-2025,10.58050
16-07-2025,10.58840
15-07-2025,10.58410
14-07-2025,10.43710
11-07-2025,10.33060
10-07-2025,10.42040
09-07-2025,10.43200
08-07-2025,10.35790
07-07-2025,10.39300
04-07-2025,10.49030
03-07-2025,10.46930
02-07-2025,10.43430
01-07-2025,10.48930
30-06-2025,10.51930
27-06-2025,10.48070
26-06-2025,10.38060
25-06-2025,10.37740
24-06-2025,10.17350
23-06-2025,10.08690
20-06-2025,10.03720
19-06-2025,9.98550
18-06-2025,10.17770
17-06-2025,10.21370
16-06-2025,10.25140
13-06-2025,10.16660
12-06-2025,10.17980
11-06-2025,10.36110
10-06-2025,10.36440
09-06-2025,10.32880
06-06-2025,10.18010
05-06-2025,10.13990
04-06-2025,10.10140
03-06-2025,10.03220
02-06-2025,10.04930
30-05-2025,10.05820
29-05-2025,10.04670
28-05-2025,9.99160
27-05-2025,9.93140
26-05-2025,9.92260
23-05-2025,9.84470
22-05-2025,9.83610
21-05-2025,9.86720
20-05-2025,9.83190
19-05-2025,9.80340
16-05-2025,9.78880
15-05-2025,9.76650
14-05-2025,9.68240
13-05-2025,9.62260
12-05-2025,9.51000
09-05-2025,9.11100
08-05-2025,9.15550
07-05-2025,9.27550
06-05-2025,9.17540
05-05-2025,9.41740
02-05-2025,9.28640
30-04-2025,9.27730
29-04-2025,9.43660
28-04-2025,9.43510
25-04-2025,9.43950
24-04-2025,9.63340
23-04-2025,9.59470
22-04-2025,9.58330
21-04-2025,9.50130
17-04-2025,9.39180
16-04-2025,9.30110
15-04-2025,9.17590
11-04-2025,8.88830
09-04-2025,8.59650
08-04-2025,8.67770
07-04-2025,8.41050
04-04-2025,8.82870
03-04-2025,9.22360
02-04-2025,9.16770
01-04-2025,9.09350
31-03-2025,9.08500
28-03-2025,9.08540
27-03-2025,9.08780
26-03-2025,8.97860
25-03-2025,9.11360
24-03-2025,9.27820
21-03-2025,9.18530
20-03-2025,9.06830
19-03-2025,8.97060
18-03-2025,8.84550
17-03-2025,8.61780
13-03-2025,8.60690
12-03-2025,8.66930
11-03-2025,8.71160
10-03-2025,8.77190
07-03-2025,8.96260
06-03-2025,8.92570
05-03-2025,8.75140
04-03-2025,8.55410
03-03-2025,8.40950
28-02-2025,8.44510
27-02-2025,8.68550
25-02-2025,8.81110
24-02-2025,8.82090
21-02-2025,8.92110
20-02-2025,8.96770
19-02-2025,8.87890
18-02-2025,8.72420
17-02-2025,8.87740
14-02-2025,8.88830
13-02-2025,9.16300
12-02-2025,9.23180
11-02-2025,9.18360
10-02-2025,9.55000
07-02-2025,9.72370
06-02-2025,9.77310
05-02-2025,9.78880
04-02-2025,9.63370
03-02-2025,9.46390
31-01-2025,9.53990
30-01-2025,9.37070
29-01-2025,9.40540
28-01-2025,9.02820
27-01-2025,9.17550
24-01-2025,9.50300
23-01-2025,9.68010
22-01-2025,9.59790
21-01-2025,9.67350
20-01-2025,9.94920
17-01-2025,9.91310
16-01-2025,9.94300
15-01-2025,9.83030
14-01-2025,9.77720
13-01-2025,9.64090
10-01-2025,10.10910
09-01-2025,10.39000
08-01-2025,10.54930
