date,nav
29-09-2023,25.40740
27-09-2023,25.38530
26-09-2023,25.38130
25-09-2023,25.37740
22-09-2023,25.36560
21-09-2023,25.36170
20-09-2023,25.35770
18-09-2023,25.34990
15-09-2023,25.33810
14-09-2023,25.33420
13-09-2023,25.33020
12-09-2023,25.32620
11-09-2023,25.32230
08-09-2023,25.31060
07-09-2023,25.30670
06-09-2023,25.30300
05-09-2023,25.29940
04-09-2023,25.29590
01-09-2023,25.28470
31-08-2023,25.28090
30-08-2023,25.27700
29-08-2023,25.27300
28-08-2023,25.26890
25-08-2023,25.25690
24-08-2023,25.25290
23-08-2023,25.24890
22-08-2023,25.24490
21-08-2023,25.24090
18-08-2023,25.22900
17-08-2023,25.22500
16-08-2023,25.22100
14-08-2023,25.21340
11-08-2023,25.20210
10-08-2023,25.19840
09-08-2023,25.19470
08-08-2023,25.19110
07-08-2023,25.18760
04-08-2023,25.17690
03-08-2023,25.17330
02-08-2023,25.16970
01-08-2023,25.16620
31-07-2023,25.16260
28-07-2023,25.15180
27-07-2023,25.14810
26-07-2023,25.14460
25-07-2023,25.14100
24-07-2023,25.13740
21-07-2023,25.12610
20-07-2023,25.12240
19-07-2023,25.11870
18-07-2023,25.11520
17-07-2023,25.11160
14-07-2023,25.09780
13-07-2023,25.08820
12-07-2023,25.08540
11-07-2023,25.08000
10-07-2023,25.06640
07-07-2023,25.06700
06-07-2023,25.08260
05-07-2023,25.05960
04-07-2023,25.04740
03-07-2023,25.03330
30-06-2023,25.01630
28-06-2023,25.04680
27-06-2023,25.04730
26-06-2023,25.03900
23-06-2023,24.99330
22-06-2023,25.02760
21-06-2023,25.05670
20-06-2023,25.01660
19-06-2023,24.96770
16-06-2023,24.95620
15-06-2023,24.92000
14-06-2023,24.90130
13-06-2023,24.85880
12-06-2023,24.78700
09-06-2023,24.77620
08-06-2023,24.78360
07-06-2023,24.82480
06-06-2023,24.72420
05-06-2023,24.64030
02-06-2023,24.57830
01-06-2023,24.58060
31-05-2023,24.48100
30-05-2023,24.44820
29-05-2023,24.41050
26-05-2023,24.35820
25-05-2023,24.29330
24-05-2023,24.23570
23-05-2023,24.14520
22-05-2023,24.11240
19-05-2023,24.08870
18-05-2023,24.14060
17-05-2023,24.17340
16-05-2023,24.15520
15-05-2023,24.14490
12-05-2023,24.07930
11-05-2023,24.06670
10-05-2023,24.01630
09-05-2023,23.95680
08-05-2023,23.93530
05-05-2023,23.77970
04-05-2023,23.89150
03-05-2023,23.74180
02-05-2023,23.66090
28-04-2023,23.59620
27-04-2023,23.45070
26-04-2023,23.32830
25-04-2023,23.23610
24-04-2023,23.24280
21-04-2023,23.17910
20-04-2023,23.19070
19-04-2023,23.12700
18-04-2023,23.16690
17-04-2023,23.20030
13-04-2023,23.12500
12-04-2023,23.03400
11-04-2023,22.96080
10-04-2023,22.84460
06-04-2023,22.86600
05-04-2023,22.69890
03-04-2023,22.60440
31-03-2023,22.45020
29-03-2023,22.24770
28-03-2023,21.94490
27-03-2023,21.96930
24-03-2023,22.13800
23-03-2023,22.31020
22-03-2023,22.35760
21-03-2023,22.25050
20-03-2023,22.09360
17-03-2023,22.18270
16-03-2023,21.93360
15-03-2023,22.08960
14-03-2023,22.04490
13-03-2023,22.18730
10-03-2023,22.58300
09-03-2023,22.62810
08-03-2023,22.75770
06-03-2023,22.75550
03-03-2023,22.70790
02-03-2023,22.55880
01-03-2023,22.52360
28-02-2023,22.32370
27-02-2023,22.19450
24-02-2023,22.33490
23-02-2023,22.39820
22-02-2023,22.33240
21-02-2023,22.41190
20-02-2023,22.49850
17-02-2023,22.48710
16-02-2023,22.48870
15-02-2023,22.33800
14-02-2023,22.27980
13-02-2023,22.43920
10-02-2023,22.71420
09-02-2023,22.50680
08-02-2023,22.41560
07-02-2023,22.29140
06-02-2023,22.27200
03-02-2023,22.11130
02-02-2023,22.16100
01-02-2023,22.10640
31-01-2023,22.34730
30-01-2023,21.98370
27-01-2023,21.96470
25-01-2023,22.28760
24-01-2023,22.40240
23-01-2023,22.41090
20-01-2023,22.37520
19-01-2023,22.42520
18-01-2023,22.44340
17-01-2023,22.36990
16-01-2023,22.47510
13-01-2023,22.53140
12-01-2023,22.48310
11-01-2023,22.47770
10-01-2023,22.44290
09-01-2023,22.47180
06-01-2023,22.41560
05-01-2023,22.50550
04-01-2023,22.54670
03-01-2023,22.64140
02-01-2023,22.60570
30-12-2022,22.47610
29-12-2022,22.36410
28-12-2022,22.35400
27-12-2022,22.36070
26-12-2022,22.13210
23-12-2022,21.64580
22-12-2022,22.24700
21-12-2022,22.52300
20-12-2022,22.87460
19-12-2022,22.95980
16-12-2022,22.91860
15-12-2022,23.13290
14-12-2022,23.21740
13-12-2022,23.08550
12-12-2022,22.99800
09-12-2022,23.07510
08-12-2022,23.22180
07-12-2022,23.22290
06-12-2022,23.32640
05-12-2022,23.36360
02-12-2022,23.37740
01-12-2022,23.30880
30-11-2022,23.24980
29-11-2022,23.14400
28-11-2022,23.14360
