date,nav
17-04-2020,15.16510
16-04-2020,15.16230
15-04-2020,15.16140
13-04-2020,15.16000
09-04-2020,15.15850
08-04-2020,15.15810
07-04-2020,15.15790
03-04-2020,15.15840
01-04-2020,15.15900
31-03-2020,15.15940
30-03-2020,15.15970
27-03-2020,15.16070
26-03-2020,15.16100
25-03-2020,15.16120
24-03-2020,15.16050
23-03-2020,15.15970
20-03-2020,15.15570
19-03-2020,15.15440
18-03-2020,15.15810
17-03-2020,15.16510
16-03-2020,15.19870
13-03-2020,15.43600
12-03-2020,15.35520
11-03-2020,15.73180
09-03-2020,15.75850
06-03-2020,15.95980
05-03-2020,16.09230
04-03-2020,16.07860
03-03-2020,16.21580
02-03-2020,16.09080
28-02-2020,16.15300
27-02-2020,16.36150
26-02-2020,16.40640
25-02-2020,16.47950
24-02-2020,16.53500
20-02-2020,16.60850
19-02-2020,16.54440
18-02-2020,16.40370
17-02-2020,16.45660
14-02-2020,16.50130
13-02-2020,16.53480
12-02-2020,16.54660
11-02-2020,16.55220
10-02-2020,16.54770
07-02-2020,16.64920
06-02-2020,16.53860
05-02-2020,16.45020
04-02-2020,16.37460
03-02-2020,16.28690
31-01-2020,16.43620
30-01-2020,16.39570
29-01-2020,16.51130
28-01-2020,16.53210
27-01-2020,16.57730
24-01-2020,16.71370
23-01-2020,16.59830
22-01-2020,16.42080
21-01-2020,16.43170
20-01-2020,16.42860
17-01-2020,16.54090
16-01-2020,16.44290
15-01-2020,16.31850
14-01-2020,16.16410
13-01-2020,16.01770
10-01-2020,15.93290
09-01-2020,15.85270
08-01-2020,15.69660
07-01-2020,15.62630
06-01-2020,15.50230
03-01-2020,15.79360
02-01-2020,15.84700
01-01-2020,15.68890
31-12-2019,15.65170
30-12-2019,15.69090
27-12-2019,15.67540
26-12-2019,15.50500
24-12-2019,15.49410
23-12-2019,15.48290
20-12-2019,15.49880
19-12-2019,15.47440
18-12-2019,15.45610
17-12-2019,15.45630
16-12-2019,15.37870
13-12-2019,15.42500
12-12-2019,15.33470
11-12-2019,15.26700
10-12-2019,15.19430
09-12-2019,15.32590
06-12-2019,15.34770
05-12-2019,15.47010
04-12-2019,15.49890
03-12-2019,15.43770
02-12-2019,15.50020
29-11-2019,15.57340
28-11-2019,15.54720
27-11-2019,15.40680
26-11-2019,15.31990
25-11-2019,15.42180
22-11-2019,15.28390
21-11-2019,15.31630
20-11-2019,15.42570
19-11-2019,15.43800
18-11-2019,15.44610
15-11-2019,15.41930
14-11-2019,15.40240
13-11-2019,15.33320
11-11-2019,15.47070
08-11-2019,15.42490
07-11-2019,15.53360
06-11-2019,15.40220
05-11-2019,15.43330
04-11-2019,15.46550
01-11-2019,15.45990
31-10-2019,15.37260
30-10-2019,15.22000
29-10-2019,15.15350
25-10-2019,14.94760
24-10-2019,15.00150
23-10-2019,14.99150
22-10-2019,14.94460
18-10-2019,14.93620
17-10-2019,14.73840
16-10-2019,14.47280
15-10-2019,14.44650
14-10-2019,14.42240
11-10-2019,14.44480
10-10-2019,14.37360
09-10-2019,14.46090
07-10-2019,14.26120
04-10-2019,14.29340
03-10-2019,14.41120
01-10-2019,14.42530
30-09-2019,14.61610
27-09-2019,14.73310
26-09-2019,14.75160
25-09-2019,14.61160
