date,nav
22-07-2025,46.81940
21-07-2025,47.06750
18-07-2025,47.12720
17-07-2025,47.35600
16-07-2025,47.08540
15-07-2025,46.82540
14-07-2025,46.45330
11-07-2025,46.15140
10-07-2025,46.07110
09-07-2025,45.84640
08-07-2025,45.66070
07-07-2025,45.64670
04-07-2025,45.84010
03-07-2025,45.73790
02-07-2025,45.63210
01-07-2025,45.83630
30-06-2025,45.61460
27-06-2025,45.32480
26-06-2025,45.16410
25-06-2025,45.19120
24-06-2025,44.71290
23-06-2025,44.50650
20-06-2025,44.34520
19-06-2025,44.14540
18-06-2025,44.70780
17-06-2025,44.67710
16-06-2025,44.92350
13-06-2025,44.80490
12-06-2025,44.92470
11-06-2025,45.37750
10-06-2025,45.09310
09-06-2025,45.15170
06-06-2025,44.57540
05-06-2025,44.16310
04-06-2025,44.04010
03-06-2025,43.94120
02-06-2025,44.03320
30-05-2025,43.99040
29-05-2025,43.59710
28-05-2025,43.50290
27-05-2025,43.52270
26-05-2025,43.50800
23-05-2025,43.52820
22-05-2025,43.24280
21-05-2025,43.35450
20-05-2025,43.22980
19-05-2025,43.55500
16-05-2025,42.76160
15-05-2025,42.41560
14-05-2025,42.37690
13-05-2025,41.84100
12-05-2025,41.48760
09-05-2025,39.90720
08-05-2025,40.03380
07-05-2025,40.39020
06-05-2025,40.05180
05-05-2025,40.82050
02-05-2025,40.23930
30-04-2025,40.24640
29-04-2025,40.97140
28-04-2025,41.09900
25-04-2025,41.05030
24-04-2025,42.10410
23-04-2025,42.04570
22-04-2025,41.98740
21-04-2025,41.74380
17-04-2025,41.01850
16-04-2025,40.98760
15-04-2025,40.58140
11-04-2025,39.58860
09-04-2025,38.52070
08-04-2025,39.05240
07-04-2025,38.34800
04-04-2025,39.93760
03-04-2025,41.10090
02-04-2025,40.96840
01-04-2025,40.64440
31-03-2025,40.56430
28-03-2025,40.56290
27-03-2025,40.90020
26-03-2025,40.41630
25-03-2025,40.90640
24-03-2025,41.58460
21-03-2025,41.11360
20-03-2025,40.34080
19-03-2025,40.13540
18-03-2025,39.49120
17-03-2025,38.60850
13-03-2025,38.58750
12-03-2025,38.82080
11-03-2025,39.02760
10-03-2025,39.14000
07-03-2025,39.89000
06-03-2025,39.44910
05-03-2025,38.82470
04-03-2025,37.81620
03-03-2025,37.30620
28-02-2025,37.61520
27-02-2025,38.16570
25-02-2025,38.98440
24-02-2025,39.20460
21-02-2025,39.62770
20-02-2025,39.57270
19-02-2025,38.86380
18-02-2025,38.14070
17-02-2025,38.57090
14-02-2025,38.82700
13-02-2025,39.80510
12-02-2025,40.00730
11-02-2025,40.12400
10-02-2025,41.37630
07-02-2025,42.19180
06-02-2025,42.51720
05-02-2025,42.32440
04-02-2025,41.76740
03-02-2025,41.41910
31-01-2025,41.58700
30-01-2025,41.18960
29-01-2025,41.19800
28-01-2025,39.94950
27-01-2025,40.94790
24-01-2025,42.47090
23-01-2025,43.37290
22-01-2025,43.17890
21-01-2025,43.95670
20-01-2025,44.64390
17-01-2025,44.59820
16-01-2025,44.76520
15-01-2025,44.24370
14-01-2025,43.75760
13-01-2025,43.08330
10-01-2025,44.54920
09-01-2025,45.52630
08-01-2025,46.01200
07-01-2025,46.42690
06-01-2025,45.78470
03-01-2025,47.30370
02-01-2025,47.36590
01-01-2025,47.19020
31-12-2024,46.83140
30-12-2024,46.43080
27-12-2024,46.56550
26-12-2024,46.42460
24-12-2024,46.66820
23-12-2024,46.66520
20-12-2024,47.21320
19-12-2024,48.12130
18-12-2024,48.30060
17-12-2024,48.39030
16-12-2024,48.42850
13-12-2024,48.30580
12-12-2024,48.41660
11-12-2024,48.95050
10-12-2024,48.85550
09-12-2024,48.68400
06-12-2024,48.40950
05-12-2024,48.18150
04-12-2024,48.17170
03-12-2024,47.96130
02-12-2024,47.56930
29-11-2024,47.57050
28-11-2024,47.24650
27-11-2024,47.11240
26-11-2024,46.50210
25-11-2024,46.23070
22-11-2024,45.65640
21-11-2024,45.36290
19-11-2024,45.83990
18-11-2024,45.60940
14-11-2024,45.96830
13-11-2024,45.47350
12-11-2024,46.89210
11-11-2024,47.85620
08-11-2024,48.39370
07-11-2024,49.01630
06-11-2024,49.15920
05-11-2024,48.49720
04-11-2024,48.24020
31-10-2024,48.31160
30-10-2024,47.49580
29-10-2024,46.62510
28-10-2024,46.73540
25-10-2024,45.90240
24-10-2024,46.78500
23-10-2024,47.01360
22-10-2024,46.74080
21-10-2024,48.38970
18-10-2024,49.01530
17-10-2024,49.04010
16-10-2024,49.64100
15-10-2024,49.50230
14-10-2024,48.96400
11-10-2024,48.95100
10-10-2024,48.48650
09-10-2024,48.44500
08-10-2024,48.09940
07-10-2024,46.87230
04-10-2024,48.04960
03-10-2024,48.11440
01-10-2024,48.87220
30-09-2024,48.40630
27-09-2024,48.44500
26-09-2024,48.33660
25-09-2024,48.48320
24-09-2024,48.65380
23-09-2024,48.85610
20-09-2024,48.46440
19-09-2024,48.05730
18-09-2024,48.33900
17-09-2024,48.63040
16-09-2024,48.30550
13-09-2024,48.28780
12-09-2024,47.80820
11-09-2024,47.60080
10-09-2024,47.91270
09-09-2024,47.38730
06-09-2024,47.56940
05-09-2024,47.86270
04-09-2024,47.45640
03-09-2024,47.39150
02-09-2024,46.95740
30-08-2024,46.95570
29-08-2024,46.71820
28-08-2024,46.96480
27-08-2024,47.11650
26-08-2024,46.87680
23-08-2024,46.82350
22-08-2024,46.68870
21-08-2024,46.20640
20-08-2024,45.82820
19-08-2024,45.41120
16-08-2024,45.13900
14-08-2024,44.21480
13-08-2024,44.49450
12-08-2024,45.10810
09-08-2024,44.90090
08-08-2024,44.72140
07-08-2024,44.52960
06-08-2024,43.25200
05-08-2024,43.28400
02-08-2024,45.04820
01-08-2024,45.39380
31-07-2024,45.53870
30-07-2024,45.59090
29-07-2024,45.37540
26-07-2024,45.18930
25-07-2024,44.95410
24-07-2024,44.81750
23-07-2024,43.93200
22-07-2024,43.70310
19-07-2024,43.30530
18-07-2024,44.30210
16-07-2024,44.82550
15-07-2024,44.68310
12-07-2024,44.41450
11-07-2024,44.74840
10-07-2024,44.38360
09-07-2024,44.64490
08-07-2024,44.55230
05-07-2024,44.51830
04-07-2024,44.37870
03-07-2024,44.29680
02-07-2024,43.94620
01-07-2024,43.76600
28-06-2024,43.05980
27-06-2024,42.97750
26-06-2024,43.24760
25-06-2024,43.55270
24-06-2024,43.45820
21-06-2024,43.27450
20-06-2024,43.05550
19-06-2024,42.48000
18-06-2024,42.57370
14-06-2024,42.27520
13-06-2024,42.07240
12-06-2024,41.60060
11-06-2024,40.96310
10-06-2024,40.72150
07-06-2024,40.30650
06-06-2024,39.69590
05-06-2024,38.70520
04-06-2024,37.66400
03-06-2024,39.88480
31-05-2024,39.41880
30-05-2024,39.15750
29-05-2024,39.65900
28-05-2024,39.63420
27-05-2024,39.86700
24-05-2024,40.00410
23-05-2024,40.18240
22-05-2024,40.17860
21-05-2024,39.96550
17-05-2024,40.34130
16-05-2024,40.04980
15-05-2024,39.63520
14-05-2024,39.15310
13-05-2024,38.52120
10-05-2024,38.50750
09-05-2024,38.14350
08-05-2024,38.93890
07-05-2024,38.80110
06-05-2024,39.39530
03-05-2024,39.54230
02-05-2024,39.74390
30-04-2024,39.41360
29-04-2024,39.36920
26-04-2024,39.41450
25-04-2024,38.95250
24-04-2024,38.63180
23-04-2024,38.33470
22-04-2024,38.14270
19-04-2024,37.95560
18-04-2024,37.80470
16-04-2024,37.49760
15-04-2024,37.20630
12-04-2024,37.68140
10-04-2024,37.77400
09-04-2024,37.60780
08-04-2024,37.61130
05-04-2024,37.54060
04-04-2024,37.28770
03-04-2024,37.22350
02-04-2024,36.83100
01-04-2024,36.57180
31-03-2024,35.77060
28-03-2024,35.77110
27-03-2024,35.54680
26-03-2024,35.46120
22-03-2024,35.21580
21-03-2024,34.81850
20-03-2024,34.37070
19-03-2024,34.16590
18-03-2024,34.38940
15-03-2024,34.48620
14-03-2024,34.14010
13-03-2024,33.25380
12-03-2024,34.76260
11-03-2024,35.17820
07-03-2024,35.90790
06-03-2024,35.66300
05-03-2024,36.43460
04-03-2024,36.72150
01-03-2024,36.74030
29-02-2024,36.52620
28-02-2024,36.54320
27-02-2024,37.16840
26-02-2024,37.26070
23-02-2024,37.10720
22-02-2024,36.99610
21-02-2024,36.70730
20-02-2024,37.14320
19-02-2024,37.14860
16-02-2024,36.70160
15-02-2024,36.23580
14-02-2024,35.95690
13-02-2024,35.52050
12-02-2024,35.27690
09-02-2024,35.89580
08-02-2024,36.18990
07-02-2024,36.34730
06-02-2024,36.45150
05-02-2024,36.11600
02-02-2024,36.05720
01-02-2024,36.10800
31-01-2024,36.25860
30-01-2024,35.77910
29-01-2024,35.69240
25-01-2024,35.47870
24-01-2024,35.27420
23-01-2024,34.91930
19-01-2024,35.55750
18-01-2024,35.47790
17-01-2024,35.45630
16-01-2024,35.89580
15-01-2024,36.14340
12-01-2024,36.16280
11-01-2024,36.08170
10-01-2024,35.57100
09-01-2024,35.61290
08-01-2024,35.56880
05-01-2024,35.71670
04-01-2024,35.72180
03-01-2024,35.38920
02-01-2024,35.42380
01-01-2024,35.31570
29-12-2023,35.06870
28-12-2023,34.91860
27-12-2023,34.90960
26-12-2023,34.93590
22-12-2023,34.84570
21-12-2023,34.45720
20-12-2023,34.06950
19-12-2023,35.08840
18-12-2023,35.04130
15-12-2023,35.00270
14-12-2023,34.75880
13-12-2023,34.71880
12-12-2023,34.50440
11-12-2023,34.60920
08-12-2023,34.34910
07-12-2023,34.56270
06-12-2023,34.45740
05-12-2023,34.43550
04-12-2023,34.31590
01-12-2023,34.01400
30-11-2023,33.77670
29-11-2023,33.56450
28-11-2023,33.44580
24-11-2023,33.30540
23-11-2023,33.28560
22-11-2023,33.26780
21-11-2023,33.37300
20-11-2023,33.15660
17-11-2023,33.07850
16-11-2023,33.11390
15-11-2023,32.94020
