date,nav
22-07-2025,10.54000
21-07-2025,10.59000
18-07-2025,10.55000
17-07-2025,10.60000
16-07-2025,10.60000
15-07-2025,10.61000
14-07-2025,10.53000
11-07-2025,10.46000
10-07-2025,10.54000
09-07-2025,10.57000
08-07-2025,10.46000
07-07-2025,10.47000
04-07-2025,10.54000
03-07-2025,10.54000
02-07-2025,10.49000
01-07-2025,10.47000
30-06-2025,10.48000
27-06-2025,10.41000
26-06-2025,10.35000
25-06-2025,10.32000
24-06-2025,10.27000
23-06-2025,10.23000
20-06-2025,10.16000
19-06-2025,10.06000
18-06-2025,10.25000
17-06-2025,10.25000
16-06-2025,10.25000
13-06-2025,10.20000
12-06-2025,10.21000
11-06-2025,10.33000
10-06-2025,10.39000
09-06-2025,10.35000
06-06-2025,10.27000
05-06-2025,10.29000
04-06-2025,10.18000
03-06-2025,10.15000
02-06-2025,10.14000
30-05-2025,10.10000
29-05-2025,10.01000
28-05-2025,9.95000
27-05-2025,9.89000
26-05-2025,9.88000
23-05-2025,9.78000
22-05-2025,9.76000
21-05-2025,9.76000
20-05-2025,9.70000
19-05-2025,9.81000
16-05-2025,9.79000
15-05-2025,9.71000
14-05-2025,9.66000
13-05-2025,9.55000
12-05-2025,9.43000
09-05-2025,9.14000
08-05-2025,9.12000
07-05-2025,9.19000
06-05-2025,9.08000
05-05-2025,9.31000
02-05-2025,9.19000
30-04-2025,9.21000
29-04-2025,9.35000
28-04-2025,9.30000
25-04-2025,9.22000
24-04-2025,9.43000
23-04-2025,9.49000
22-04-2025,9.49000
21-04-2025,9.40000
17-04-2025,9.28000
16-04-2025,9.28000
15-04-2025,9.17000
11-04-2025,8.86000
09-04-2025,8.59000
08-04-2025,8.75000
07-04-2025,8.53000
04-04-2025,8.95000
03-04-2025,9.28000
02-04-2025,9.31000
01-04-2025,9.22000
31-03-2025,9.37000
28-03-2025,9.37000
27-03-2025,9.34000
26-03-2025,9.19000
25-03-2025,9.31000
24-03-2025,9.42000
21-03-2025,9.32000
20-03-2025,9.15000
19-03-2025,9.07000
18-03-2025,8.94000
17-03-2025,8.71000
13-03-2025,8.67000
12-03-2025,8.73000
11-03-2025,8.76000
10-03-2025,8.81000
07-03-2025,8.90000
06-03-2025,8.81000
05-03-2025,8.67000
04-03-2025,8.47000
03-03-2025,8.35000
28-02-2025,8.44000
27-02-2025,8.64000
25-02-2025,8.85000
24-02-2025,8.83000
21-02-2025,8.94000
20-02-2025,8.99000
19-02-2025,8.86000
18-02-2025,8.69000
17-02-2025,8.81000
14-02-2025,8.90000
13-02-2025,9.18000
12-02-2025,9.21000
11-02-2025,9.18000
10-02-2025,9.49000
07-02-2025,9.76000
06-02-2025,9.81000
05-02-2025,9.84000
04-02-2025,9.73000
03-02-2025,9.60000
31-01-2025,9.62000
30-01-2025,9.47000
29-01-2025,9.45000
28-01-2025,9.11000
27-01-2025,9.29000
24-01-2025,9.65000
23-01-2025,9.81000
22-01-2025,9.66000
21-01-2025,9.89000
20-01-2025,10.15000
17-01-2025,10.11000
16-01-2025,10.16000
15-01-2025,10.05000
14-01-2025,9.99000
13-01-2025,9.90000
10-01-2025,10.31000
09-01-2025,10.55000
08-01-2025,10.72000
07-01-2025,10.86000
06-01-2025,10.69000
03-01-2025,10.99000
02-01-2025,10.96000
01-01-2025,10.88000
31-12-2024,10.79000
30-12-2024,10.78000
27-12-2024,10.78000
26-12-2024,10.81000
24-12-2024,10.75000
23-12-2024,10.68000
20-12-2024,10.69000
19-12-2024,10.87000
18-12-2024,10.78000
17-12-2024,10.86000
16-12-2024,10.84000
13-12-2024,10.71000
12-12-2024,10.70000
11-12-2024,10.76000
10-12-2024,10.69000
09-12-2024,10.70000
06-12-2024,10.63000
05-12-2024,10.55000
04-12-2024,10.49000
03-12-2024,10.43000
02-12-2024,10.41000
29-11-2024,10.35000
28-11-2024,10.26000
27-11-2024,10.28000
26-11-2024,10.15000
25-11-2024,10.09000
22-11-2024,9.91000
21-11-2024,9.87000
19-11-2024,9.79000
18-11-2024,9.67000
14-11-2024,9.74000
13-11-2024,9.65000
12-11-2024,9.91000
11-11-2024,9.98000
08-11-2024,10.07000
07-11-2024,10.11000
06-11-2024,10.11000
05-11-2024,10.06000
