date,nav
25-04-2014,12.77650
23-04-2014,12.85940
22-04-2014,12.82130
21-04-2014,12.77290
17-04-2014,12.60490
16-04-2014,12.35720
15-04-2014,12.42320
11-04-2014,12.47530
10-04-2014,12.45520
09-04-2014,12.37570
07-04-2014,12.15750
04-04-2014,12.15800
03-04-2014,12.10730
02-04-2014,12.16440
01-04-2014,11.97710
31-03-2014,12.01690
28-03-2014,11.95740
27-03-2014,11.78900
26-03-2014,11.59570
25-03-2014,11.55470
24-03-2014,11.53250
21-03-2014,11.54550
20-03-2014,11.47620
19-03-2014,11.41210
18-03-2014,11.26110
14-03-2014,11.13220
13-03-2014,11.11990
12-03-2014,11.20590
11-03-2014,11.13780
10-03-2014,11.22710
07-03-2014,11.08540
06-03-2014,11.21040
05-03-2014,11.02350
04-03-2014,10.89570
03-03-2014,10.63950
28-02-2014,10.60540
26-02-2014,10.57150
25-02-2014,10.63110
24-02-2014,10.66090
21-02-2014,10.57580
20-02-2014,10.44560
19-02-2014,10.45800
18-02-2014,10.37270
17-02-2014,10.25200
14-02-2014,10.17850
13-02-2014,10.16130
12-02-2014,10.28280
11-02-2014,10.26830
10-02-2014,10.26160
07-02-2014,10.23640
06-02-2014,10.14580
05-02-2014,10.09710
04-02-2014,9.94420
03-02-2014,9.91070
31-01-2014,10.02140
30-01-2014,9.90000
29-01-2014,10.01490
28-01-2014,9.98350
27-01-2014,9.89480
24-01-2014,10.18820
23-01-2014,10.26090
22-01-2014,10.17920
21-01-2014,10.17980
20-01-2014,10.08880
17-01-2014,9.84660
16-01-2014,10.04310
15-01-2014,10.09220
14-01-2014,10.08210
13-01-2014,10.07680
10-01-2014,10.04970
09-01-2014,10.10800
08-01-2014,10.22830
07-01-2014,10.15860
06-01-2014,10.17200
03-01-2014,10.06190
02-01-2014,9.98070
01-01-2014,10.21390
31-12-2013,10.04780
30-12-2013,10.02050
27-12-2013,10.06700
26-12-2013,10.02340
24-12-2013,9.90830
23-12-2013,9.80230
20-12-2013,9.73230
19-12-2013,9.59650
18-12-2013,9.52770
17-12-2013,9.35380
16-12-2013,9.35250
13-12-2013,9.27490
12-12-2013,9.34480
11-12-2013,9.33740
10-12-2013,9.37140
09-12-2013,9.45720
06-12-2013,9.41560
05-12-2013,9.35550
04-12-2013,9.28150
03-12-2013,9.36250
02-12-2013,9.33940
29-11-2013,9.25900
28-11-2013,9.17460
27-11-2013,9.12640
26-11-2013,9.16540
25-11-2013,9.20220
22-11-2013,9.11760
21-11-2013,9.07550
20-11-2013,9.14870
19-11-2013,9.13070
18-11-2013,9.10510
14-11-2013,9.03690
13-11-2013,8.97630
12-11-2013,9.06510
11-11-2013,9.14990
08-11-2013,9.22760
07-11-2013,9.24930
06-11-2013,9.34720
05-11-2013,9.25690
01-11-2013,8.91740
31-10-2013,8.69320
30-10-2013,8.61690
29-10-2013,8.64960
28-10-2013,8.54880
25-10-2013,8.58670
24-10-2013,8.65270
23-10-2013,8.65470
22-10-2013,8.67070
21-10-2013,8.65700
18-10-2013,8.65340
17-10-2013,8.59230
15-10-2013,8.66270
14-10-2013,8.78900
11-10-2013,8.59720
10-10-2013,8.50560
09-10-2013,8.44110
08-10-2013,8.33900
07-10-2013,8.26250
04-10-2013,8.14070
03-10-2013,8.12270
01-10-2013,8.05950
30-09-2013,7.99670
27-09-2013,7.97350
26-09-2013,7.96400
25-09-2013,7.93470
24-09-2013,7.93410
23-09-2013,7.88390
20-09-2013,7.89910
19-09-2013,8.02920
18-09-2013,7.83800
17-09-2013,7.82570
16-09-2013,7.90480
13-09-2013,7.91910
12-09-2013,7.89580
11-09-2013,7.95970
10-09-2013,7.85120
06-09-2013,7.80520
05-09-2013,7.81290
04-09-2013,7.66530
03-09-2013,7.58500
02-09-2013,7.60650
30-08-2013,7.51520
29-08-2013,7.45650
28-08-2013,7.44670
27-08-2013,7.54510
26-08-2013,7.69640
23-08-2013,7.60180
22-08-2013,7.49940
21-08-2013,7.38650
20-08-2013,7.42890
19-08-2013,7.36270
16-08-2013,7.43190
14-08-2013,7.66440
13-08-2013,7.69170
12-08-2013,7.52040
08-08-2013,7.48670
07-08-2013,7.33120
06-08-2013,7.14960
05-08-2013,7.30630
02-08-2013,7.32600
01-08-2013,7.44680
31-07-2013,7.57190
30-07-2013,7.73140
29-07-2013,7.91070
26-07-2013,8.11380
25-07-2013,8.20500
24-07-2013,8.27290
23-07-2013,8.42750
22-07-2013,8.46620
19-07-2013,8.50850
18-07-2013,8.54420
17-07-2013,8.57670
16-07-2013,8.68400
15-07-2013,8.80250
12-07-2013,8.74700
11-07-2013,8.65970
10-07-2013,8.58870
09-07-2013,8.60910
08-07-2013,8.52520
05-07-2013,8.57280
04-07-2013,8.58680
03-07-2013,8.57560
02-07-2013,8.73160
01-07-2013,8.75990
28-06-2013,8.52720
27-06-2013,8.39690
26-06-2013,8.37290
25-06-2013,8.47060
24-06-2013,8.51580
21-06-2013,8.68990
20-06-2013,8.82510
19-06-2013,9.02420
18-06-2013,8.93960
17-06-2013,8.89780
14-06-2013,8.83460
13-06-2013,8.81240
12-06-2013,8.91340
11-06-2013,8.88140
10-06-2013,8.98330
07-06-2013,9.06890
06-06-2013,9.03260
05-06-2013,9.04100
04-06-2013,9.00770
03-06-2013,9.00530
31-05-2013,8.99620
30-05-2013,9.17400
29-05-2013,9.18740
28-05-2013,9.23490
27-05-2013,9.20750
24-05-2013,9.17080
23-05-2013,9.14470
22-05-2013,9.38140
21-05-2013,9.42270
20-05-2013,9.49920
17-05-2013,9.46180
16-05-2013,9.46590
15-05-2013,9.46640
14-05-2013,9.35400
13-05-2013,9.35500
10-05-2013,9.42030
09-05-2013,9.44710
08-05-2013,9.46880
07-05-2013,9.44730
06-05-2013,9.37020
03-05-2013,9.24070
02-05-2013,9.33890
30-04-2013,9.21180
29-04-2013,9.14620
26-04-2013,9.12090
25-04-2013,9.18750
23-04-2013,9.14220
22-04-2013,9.07540
18-04-2013,8.99970
17-04-2013,8.98260
16-04-2013,8.93360
15-04-2013,8.81350
12-04-2013,8.78180
11-04-2013,8.79480
10-04-2013,8.75680
09-04-2013,8.78550
08-04-2013,8.85420
05-04-2013,8.89920
04-04-2013,8.84410
03-04-2013,9.01180
02-04-2013,9.03620
01-04-2013,8.79700
28-03-2013,8.63290
26-03-2013,8.49080
25-03-2013,8.48300
22-03-2013,8.54200
21-03-2013,8.66800
20-03-2013,8.78720
19-03-2013,8.96220
18-03-2013,9.11230
15-03-2013,9.17770
14-03-2013,9.23970
13-03-2013,9.24010
12-03-2013,9.33840
11-03-2013,9.39640
08-03-2013,9.36290
07-03-2013,9.29910
06-03-2013,9.34790
05-03-2013,9.25760
04-03-2013,9.17310
01-03-2013,9.29780
28-02-2013,9.20650
27-02-2013,9.39890
26-02-2013,9.30780
25-02-2013,9.51770
22-02-2013,9.62720
21-02-2013,9.62910
20-02-2013,9.80240
19-02-2013,9.75120
18-02-2013,9.68320
15-02-2013,9.63100
14-02-2013,9.67390
13-02-2013,9.82870
12-02-2013,9.82640
11-02-2013,9.95210
08-02-2013,10.00810
07-02-2013,10.00630
06-02-2013,10.15530
05-02-2013,10.08490
04-02-2013,10.22300
01-02-2013,10.26790
31-01-2013,10.32910
30-01-2013,10.27590
29-01-2013,10.31280
28-01-2013,10.37830
25-01-2013,10.36180
24-01-2013,10.31580
23-01-2013,10.60200
22-01-2013,10.67910
21-01-2013,10.72690
18-01-2013,10.66150
17-01-2013,10.69500
16-01-2013,10.68650
15-01-2013,10.83950
14-01-2013,10.75360
11-01-2013,10.70550
10-01-2013,10.91590
09-01-2013,10.97150
08-01-2013,11.05300
07-01-2013,11.01310
04-01-2013,10.87360
03-01-2013,10.81510
02-01-2013,10.73450
