Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,,
2007-09-17,8956.0302734375,8956.2001953125,9016.25,8887.599609375,8957.150390625,0
2007-09-18,9069.728515625,9069.900390625,9085.099609375,8934.900390625,8962.7001953125,0
2007-09-19,9277.2744140625,9277.4501953125,9300.25,9099.9501953125,9099.9501953125,0
2007-09-20,9306.4228515625,9306.599609375,9359.0498046875,9255.650390625,9280.099609375,0
2007-09-21,9371.6220703125,9371.7998046875,9410.2998046875,9291.4501953125,9294.4501953125,0
2007-09-24,9607.0185546875,9607.2001953125,9616.099609375,9340.599609375,9375.7001953125,0
2007-09-25,9586.71875,9586.900390625,9664.4501953125,9469.7998046875,9619.2001953125,0
2007-09-26,9645.4169921875,9645.599609375,9782.400390625,9594.150390625,9601.599609375,0
2007-09-27,9603.5185546875,9603.7001953125,9782.25,9584.2998046875,9691.2001953125,0
2007-09-28,9820.7138671875,9820.900390625,9838.2998046875,9616.7001953125,9616.7001953125,0
2007-10-01,10017.66015625,10017.849609375,10068.2998046875,9809.5498046875,9831.650390625,0
2007-10-03,10102.458984375,10102.650390625,10255.7001953125,9693.5498046875,10053.2998046875,0
2007-10-04,10022.4599609375,10022.650390625,10108.150390625,9878.5,10102.75,0
2007-10-05,9767.46484375,9767.650390625,10083.7998046875,9711.0,10026.400390625,0
2007-10-08,9405.7216796875,9405.900390625,9890.150390625,9231.400390625,9767.400390625,0
2007-10-09,9801.96484375,9802.150390625,9818.0,9206.7001953125,9355.400390625,0
2007-10-10,10037.5595703125,10037.75,10091.099609375,9798.7998046875,9798.7998046875,0
2007-10-11,10211.95703125,10212.150390625,10247.5498046875,9935.849609375,10082.5498046875,0
2007-10-12,10019.9609375,10020.150390625,10275.2001953125,9961.2998046875,10125.599609375,0
2007-10-15,10250.7060546875,10250.900390625,10280.599609375,10027.9501953125,10027.9501953125,0
2007-10-16,10292.8544921875,10293.0498046875,10348.7001953125,10135.599609375,10236.650390625,0
2007-10-17,9922.8115234375,9923.0,9988.2001953125,9298.4501953125,9943.5,0
2007-10-18,9532.5693359375,9532.75,10197.150390625,9413.0498046875,9975.75,0
2007-10-19,9115.8271484375,9116.0,9605.25,8951.5,9566.349609375,0
2007-10-22,9165.7265625,9165.900390625,9234.400390625,8908.5498046875,9062.5498046875,0
2007-10-23,9796.71484375,9796.900390625,9835.2001953125,9216.7998046875,9216.7998046875,0
2007-10-24,9888.212890625,9888.400390625,10016.9501953125,9739.400390625,9889.599609375,0
2007-10-25,9940.3115234375,9940.5,10045.5,9844.150390625,9892.7998046875,0
2007-10-26,10268.4560546875,10268.650390625,10285.2998046875,9915.150390625,9958.900390625,0
2007-10-29,10392.802734375,10393.0,10521.9501953125,10344.2001953125,10344.2001953125,0
2007-10-30,10584.7998046875,10585.0,10682.2001953125,10336.7998046875,10434.400390625,0
