schemeCode,schemeName,CAGR_1Y,Volatility_1Y,Sharpe_Ratio_1Y,Sortino_Ratio_1Y,Max_Drawdown_1Y,Calmar_Ratio_1Y,Omega_Ratio_1Y,Information_Ratio_1Y,CAGR_3Y,Volatility_3Y,Sharpe_Ratio_3Y,Sortino_Ratio_3Y,Max_Drawdown_3Y,Calmar_Ratio_3Y,Omega_Ratio_3Y,Information_Ratio_3Y,CAGR_5Y,Volatility_5Y,Sharpe_Ratio_5Y,Sortino_Ratio_5Y,Max_Drawdown_5Y,Calmar_Ratio_5Y,Omega_Ratio_5Y,Information_Ratio_5Y,scheme_code,alpha_ff_4f,alpha_p_value,topsis_score,rank
147946,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,0.1598510976979785,0.197995658042363,0.4538033742070954,0.5904536852357347,-0.2277836451418222,0.7017672300329216,1.1517140270038804,1.98078051105668,0.3617210092213008,0.1628395143818303,1.791463271852222,1.9945419954915184,-0.2277836451418233,1.5880025495073842,1.417818268732422,1.3378490910025251,0.3871327225315155,0.1708023458546833,1.8567234597663456,2.1366064984401967,-0.2433628318584069,1.5907635507658648,1.413272292739291,1.3478562006282944,147946,0.027066204990234745,0.3701553808551099,0.6127630046446568,1
125354,Axis Small Cap Fund - Direct Plan - Growth,0.1025990323265064,0.1660363813364469,0.196336682744546,0.2553918026347363,-0.1942650070899648,0.5281395443441467,1.119498378232631,1.434464499648697,0.2507746867485256,0.1341434340879677,1.3476223266356695,1.6056239486454182,-0.1942650070899645,1.2908896486560308,1.3541293928507026,0.3735330251873857,0.3283583037201938,0.1460711165360156,1.7687158820100646,2.130197429305201,-0.1942650070899649,1.6902596542676862,1.4189980552542525,0.8394436324693294,125354,0.07688553807376129,0.00026810394492310087,0.5847631160909934,2
118525,Franklin India Small Cap Fund - Direct - Growth,-0.0017233356732941,0.1751431139154022,-0.4095127354418174,-0.5324877407032989,-0.2411703411209828,-0.0071457197650588,1.0131322452867737,0.4125427276909172,0.2919848405985192,0.1488352869879226,1.4914799110545092,1.6775117245943605,-0.241170341120983,1.2106996210286285,1.3713711679093197,0.7456789304663446,0.3588925701631646,0.1624298352488569,1.778568387516712,2.032685921240024,-0.2411703411209832,1.4881289651745613,1.4093629700307782,1.121482496690047,118525,0.06541873892557978,0.0004114461870756793,0.5667683202616403,3
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,0.0227179254207814,0.1823129562474538,-0.2593456633715186,-0.3403227699107948,-0.242087125161267,0.0938419397795228,1.036252007659234,0.7317399809913354,0.2933660142054051,0.155203758578646,1.4391791555242484,1.578401542342157,-0.2420871251612667,1.2118199760106152,1.3588160931685838,0.8551521226161316,0.3912130198343624,0.1706127197301876,1.8827026516096743,2.14693362816399,-0.2420871251612663,1.6160009317874957,1.4167124604251138,1.460121508461117,118778,0.07914291067315025,4.691683245522766e-05,0.5667417634162423,4
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,0.0227179254207816,0.1823129705968009,-0.2593456429591412,-0.3403229989519717,-0.242087125161267,0.0938419397795237,1.0362519897899112,0.7317410110757046,0.2933660142054051,0.1552037329398585,1.4391793932685848,1.5784017898524734,-0.2420871251612667,1.2118199760106152,1.35881598437667,0.8551519547593043,0.3912130198343626,0.1706124923637404,1.8827051605901552,2.1469420423035688,-0.2420871251612664,1.6160009317874957,1.416712531405035,1.4601218381515442,118777,0.07913994601385577,4.697837237078805e-05,0.5667401706953576,5
130503,HDFC Small Cap Fund - Growth Option - Direct Plan,0.0809900642640752,0.1821092150323901,0.0603487542468434,0.080617177324779,-0.2261407027889222,0.3581401457820298,1.0912168242255469,1.134038497247528,0.2842987180499796,0.1523934551854323,1.406219957341481,1.6154958090647662,-0.2261407027889218,1.2571762382614602,1.3537986722843018,0.6618393957052123,0.3601094910518856,0.1672353560926683,1.734737784103083,2.046557579554341,-0.2261407027889221,1.5924134249640534,1.3942836047045224,1.0945183672354035,130503,0.021791231757731833,0.3920586105414581,0.5338624893702931,6
147919,ITI Small Cap Fund - Direct Plan - Growth Option,0.0765110792451526,0.215752584256565,0.0301784530998243,0.0389948050966124,-0.2417165298790738,0.3165322590202237,1.0790364237647612,1.19090148310426,0.3335218436201277,0.1777985028081923,1.4821375852889669,1.6071675376708945,-0.2417165298790734,1.3798056913483858,1.3596545010215768,1.1559121175452158,0.3104250588383337,0.1852986641822162,1.2975002269952045,1.4418025663992715,-0.2918120526677013,1.0637842268695727,1.3135896666265647,0.7644062552972938,147919,-0.007812658222855583,0.8245671570347174,0.5283228225128344,7
120828,quant Small Cap Fund - Growth Option - Direct Plan,-0.0232419084174467,0.1819234758798941,-0.5125336791553228,-0.7027747650721187,-0.244180686230275,-0.0951832381842372,0.9935510411147044,0.2036617179062375,0.3106154235776401,0.1780974745330013,1.3510322041824028,1.496300896651534,-0.2441806862302754,1.2720720396563765,1.3314792090262522,0.9389270935661178,0.4489915545832657,0.2009376789705958,1.8861149214265849,2.210233524836528,-0.2517184007417091,1.7837057333126018,1.4039303919406143,1.5701535966538225,120828,0.03353930536121082,0.39590618993157245,0.5229513774961935,8
125497,SBI Small Cap Fund - Direct Plan - Growth,0.0132945510313762,0.1530759817174226,-0.3704398843791295,-0.4802756147797637,-0.2242460406741861,0.0592855552383744,1.0285490280798686,0.4654578941580841,0.2213620262554843,0.1295443924841298,1.168418202849091,1.3518342438348705,-0.2242460406741864,0.9871390620319028,1.3321395646609708,0.1197040783572468,0.3040609147929922,0.141128229134715,1.6584982056960946,1.9726926076760165,-0.2242460406741868,1.3559254552671036,1.4058365049673744,0.62549170905566,125497,0.09152134100863056,0.0002351340844482663,0.5213392557106554,9
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,0.0807301780714802,0.1806488702476611,0.0593979804953644,0.0757161105711494,-0.2285997319503523,0.3531507993588256,1.091528042348486,1.2214818253367337,0.2679259388384742,0.1493728276602053,1.3250464755793334,1.523996076567974,-0.2285997319503525,1.172030853022446,1.33992571596007,0.5541934374983277,0.3620523121231185,0.1628423966065417,1.793466064177209,2.1307475405979,-0.2285997319503525,1.5837827500241746,1.4097959911339937,1.1418536606267051,146196,0.027738196242624736,0.3739804535732917,0.5159637515555471,10
