schemeCode,schemeName,CAGR_1Y,Volatility_1Y,Sharpe_Ratio_1Y,Sortino_Ratio_1Y,Max_Drawdown_1Y,Calmar_Ratio_1Y,Omega_Ratio_1Y,Information_Ratio_1Y,CAGR_3Y,Volatility_3Y,Sharpe_Ratio_3Y,Sortino_Ratio_3Y,Max_Drawdown_3Y,Calmar_Ratio_3Y,Omega_Ratio_3Y,Information_Ratio_3Y,CAGR_5Y,Volatility_5Y,Sharpe_Ratio_5Y,Sortino_Ratio_5Y,Max_Drawdown_5Y,Calmar_Ratio_5Y,Omega_Ratio_5Y,Information_Ratio_5Y
118525,Franklin India Small Cap Fund - Direct - Growth,-0.0017233356732941907,0.17514311391540222,-0.40951273544181743,-0.5324877407032989,-0.24117034112098285,-0.0071457197650588436,1.0131322452867735,0.41254272769091727,0.29198484059851926,0.14883528698792267,1.4914799110545092,1.6775117245943605,-0.24117034112098307,1.2106996210286285,1.3713711679093197,0.7456789304663446,0.35889257016316467,0.16242983524885693,1.778568387516712,2.0326859212400237,-0.2411703411209832,1.4881289651745613,1.4093629700307782,1.121482496690047
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,0.02271792542078166,0.18231297059680093,-0.25934564295914125,-0.34032299895197177,-0.242087125161267,0.09384193977952379,1.0362519897899112,0.7317410110757046,0.2933660142054051,0.15520373293985854,1.4391793932685848,1.5784017898524734,-0.24208712516126676,1.2118199760106152,1.35881598437667,0.8551519547593043,0.39121301983436263,0.17061249236374046,1.8827051605901552,2.1469420423035688,-0.24208712516126643,1.6160009317874957,1.416712531405035,1.4601218381515442
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,0.022717925420781437,0.18231295624745386,-0.2593456633715186,-0.34032276991079485,-0.242087125161267,0.09384193977952288,1.0362520076592339,0.7317399809913354,0.2933660142054051,0.15520375857864602,1.4391791555242484,1.578401542342157,-0.24208712516126676,1.2118199760106152,1.3588160931685838,0.8551521226161316,0.3912130198343624,0.1706127197301876,1.8827026516096743,2.14693362816399,-0.2420871251612663,1.6160009317874957,1.4167124604251138,1.460121508461117
119212,DSP Small Cap Fund - Direct Plan - Growth,0.09891762179552765,0.1928793966003861,0.14992592420558082,0.1913273148513234,-0.2414068392429467,0.4097548441698417,1.1041632727731616,1.1863911787016794,0.2509319234251197,0.15520345089657525,1.1657725545399724,1.3508685178394988,-0.24140683924294692,1.0394565630867936,1.305522351666599,0.37377954830940086,0.3380720737673699,0.16387902874768803,1.6357924245456685,1.924195317410406,-0.24140683924294684,1.4004245895748677,1.3758421342298965,0.8926557970493441
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,0.02650338827949761,0.18875418882074185,-0.23044051097488882,-0.29972297021254907,-0.2616729792740238,0.10128439074232146,1.0398377226571307,0.6651181944800372,0.2342575976993737,0.15495002771470526,1.060068204710525,1.1983415465769014,-0.2616729792740253,0.8952303686429082,1.2920936113722732,0.277128281160612,0.2996519437427658,0.16932175540938152,1.3563050016078537,1.57768243092855,-0.2616729792740252,1.1451390379477004,1.3300239292009501,0.6838242814150455
119589,Sundaram Small Cap Fund Direct Plan - Growth,0.08992398173472349,0.1801546890362498,0.11059374497165868,0.14351834274700764,-0.23768563034187995,0.3783315870016185,1.101151482399853,1.248010444127451,0.2661468173615631,0.14666605992611065,1.3373701963520428,1.5239083436183747,-0.23768563034188,1.1197429856350396,1.3493983337519964,0.5241090393974313,0.33886213665719533,0.1612968934987497,1.6668773392047964,1.938780751833579,-0.23768563034188023,1.425673635254204,1.3894042813477918,0.9444244812818336
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option,0.0,0.0,,inf,0.0,,inf,0.13186374701398793,0.0,0.0,,inf,0.0,,inf,-1.1131150767680076,0.0,0.0,,inf,0.0,,inf,-1.1707405065616818
120069,HSBC Small Cap Equity Fund - Growth Direct,0.0,0.0,,inf,0.0,,inf,0.13186374701398793,0.029570513814110688,0.04271470656802112,-0.9465003843935413,-0.39586257176892425,-0.06794476258675052,0.43521402810637017,1.401548389959424,-0.9702415224110229,0.16215835397630518,0.12701939171227458,0.7255455465025613,0.6270463315032108,-0.29531036633480945,0.5491116210680441,1.360859103706897,-0.33067124005199106
120077,HSBC - Small Cap Fund - Growth Direct,0.0,0.0,,inf,0.0,,inf,0.13186374701398793,0.0,0.0,,inf,0.0,,inf,-1.1131150767680076,0.0,0.0,,inf,0.0,,inf,-1.1707405065616818
120164,Kotak-Small Cap Fund - Growth - Direct,0.020973826056051914,0.16961878504132277,-0.2890374078083643,-0.35289930092841476,-0.24672886680662087,0.08500758880593655,1.0361586556917106,0.6149083194993633,0.21692210880170615,0.1353586219620939,1.0854285207103431,1.2048598354321123,-0.24672886680662054,0.879192255082677,1.3114008375014297,0.09842381057087936,0.3448682329550239,0.14606621045274185,1.881805737980411,2.193198771784372,-0.24672886680662082,1.3977619944460005,1.4419539145011424,0.9598724803796586
120828,quant Small Cap Fund - Growth Option - Direct Plan,-0.023241908417446777,0.18192347587989416,-0.5125336791553228,-0.7027747650721187,-0.24418068623027503,-0.09518323818423728,0.9935510411147045,0.20366171790623755,0.31061542357764016,0.17809747453300134,1.3510322041824028,1.4963008966515339,-0.24418068623027542,1.2720720396563765,1.3314792090262522,0.9389270935661178,0.4489915545832657,0.20093767897059583,1.8861149214265847,2.2102335248365277,-0.25171840074170915,1.7837057333126018,1.4039303919406143,1.5701535966538225
